percentile,Original,Wider,Narrower
0.0,342.11992090643537,274.09897290794027,772.2588115850123
0.01,656.8175588069442,504.10632149464146,967.3242762412724
0.025,777.8824551936835,678.7783524909472,1081.4552917845815
0.05,942.5255222906455,860.1083678503885,1157.6013089966077
0.17,1358.574972574668,1308.3975391882943,1424.4567982546696
0.25,1516.7638036256997,1547.6305289380205,1541.159162963157
0.5,1916.5418471018236,2208.0159758814625,1868.4773334365086
0.75,2482.496630689291,3024.2964028376828,2281.751102756612
0.83,2746.257943024472,3448.7266717671273,2494.078108838745
0.95,3550.8016570187665,4589.686129042809,2952.4237403905686
0.975,3991.4057984749425,5240.295643473269,3151.166080235441
0.99,4408.565609876553,6726.3695495914635,3341.43394143306
1.0,7024.245228449354,9481.388121656064,4366.1612958056685
