percentile,Original,Wider,Narrower
0.0,134.46784757998464,197.16103383095955,592.1806306433249
0.01,382.15333275792335,293.53410233661344,733.2148913475702
0.025,495.52411043977213,438.89602353944935,791.6212696953241
0.05,619.9155893351392,540.1286695898605,854.7752124623337
0.17,913.8286396120798,828.2670407330328,1019.9059483679363
0.25,1018.3068704926077,980.3263883110627,1079.828976357839
0.5,1273.8260671533608,1407.2391219098874,1241.1703773327522
0.75,1591.3016315013351,1920.8705505215967,1406.7686046587125
0.83,1717.5406630824343,2113.691605444988,1485.5791576635352
0.95,2017.4260739328522,2741.3301556300507,1674.00163751776
0.975,2242.628784283286,3062.8454562248235,1792.9154801822917
0.99,2582.4471841887357,3503.7220833668753,1896.9952616439236
1.0,2918.4075681882136,5083.213985337496,4007.620861942288
