percentile,SLR-only Europe and Central Asia,SE-only Europe and Central Asia,SLR and SE Europe and Central Asia,SLR-only Middle East and North Africa,SE-only Middle East and North Africa,SLR and SE Middle East and North Africa,SLR-only Sub-Saharan Africa,SE-only Sub-Saharan Africa,SLR and SE Sub-Saharan Africa,SLR-only Latin America and the Caribbean,SE-only Latin America and the Caribbean,SLR and SE Latin America and the Caribbean,SLR-only East Asia and Pacific,SE-only East Asia and Pacific,SLR and SE East Asia and Pacific,SLR-only South Asia,SE-only South Asia,SLR and SE South Asia,SLR-only North America,SE-only North America,SLR and SE North America
0.0,1.1930875933869272,0.2459793553270902,0.12760657217328028,0.8604705703424731,0.15798489914696998,0.09488783968948934,1.7345485420033044,0.18402675124177909,0.11447730471132854,2.0927366718579576,0.37977813046569947,0.2230567446707335,1.6850267190808632,0.4646582985763631,0.30736391556150966,1.5097688243061709,0.3457000732325135,0.20286479413960545,0.9743012276749364,0.30359151471817675,0.18563332748105751
0.01,1.2616575590377457,0.43764586919169074,0.4187891161585285,0.899707826595837,0.2562959961006125,0.26002042913422246,1.9558468909432896,0.47472236460472794,0.5335733878875504,2.35676409279154,0.85226322082134,0.8027341489929968,1.8848168810399113,0.7681633384788906,0.7763280223469998,1.6648576920940343,0.6439688386390066,0.6855162455950184,1.0806212205568821,0.41110276684971575,0.3969047379343651
0.025,1.2788160229335708,0.6239092465443175,0.5821225589867238,0.912806247207204,0.38121162801856606,0.3651048082588569,2.0088134611268447,0.7790867876317753,0.8542547742399389,2.4238713481460663,1.147773291941799,1.1419174280017121,1.935099728595545,1.012681549457334,0.9955196312130704,1.7113804017359613,0.8323792877118419,0.8667972127928193,1.1093688291136634,0.559459156661502,0.534087641610945
0.05,1.2984354027811722,0.7600101985371903,0.7802725026882784,0.9239093239595503,0.46133034847136134,0.4942131791540787,2.051463412434205,0.9890139846707323,1.1422811424518537,2.493348606314061,1.4510486348403138,1.4880832451937949,1.9781740227473679,1.233523495451995,1.255396160973324,1.7499769540362997,1.0054886110782122,1.0536851692899596,1.1385200181835435,0.6884487413119216,0.6847804225269485
0.17,1.3667704869256547,1.1132961488042614,1.1029919934123382,0.9584916122845026,0.7217823526868672,0.735805369844293,2.1281502857409476,1.5307238346480554,1.7712707524735976,2.678219947397804,2.1855944650484456,2.192488833109997,2.119472097872324,1.772005542352846,1.8086879044014172,1.8718361001750616,1.454603856454686,1.5933560869221208,1.2211034784228576,1.0116131090412275,0.9994855381196963
0.25,1.3914783282730852,1.2414970319205842,1.2491323980606732,0.9773873812841438,0.8119978836661594,0.8343144323178315,2.1573486549904834,1.7342840098742442,2.0251017431222547,2.7641946718711052,2.422818144140215,2.429268495908781,2.179013648174653,1.9610073918245317,2.01449642294863,1.9244452093927715,1.600632567974788,1.7930078639971205,1.2538899505199679,1.1313699498924108,1.1350549679617221
0.5,1.459898796274964,1.5619475669808387,1.5401099668472669,1.0220616603308417,1.0722342190974863,1.0823337990682358,2.223411599302683,2.352351185301246,2.5822778932522117,2.9244709527541426,3.076791199568833,3.085258229544091,2.3372277521509686,2.471984490850211,2.5255337696918763,2.0446329520935063,2.077681286650275,2.3220151115758725,1.3418645993008882,1.4354481211185746,1.4085346717534417
0.75,1.5395408516261622,1.8753826599612369,1.862792776414878,1.0668171505100688,1.321446543544943,1.3550926648852073,2.295747456015654,3.032222698212849,3.3920408000627704,3.1203212463315264,3.7350304425840366,3.8753040502266995,2.525217700955952,3.0006891315080497,3.1499233143345085,2.1945506301992643,2.67268227861499,2.9315740473919125,1.4504262456705979,1.7352090520573267,1.7137252610846332
0.83,1.5778059718838393,1.9935364958058932,2.019788786262385,1.0887846994572155,1.4279566193232764,1.4983759513687378,2.3287041685510133,3.3314368757877455,3.7364463887098216,3.2233701438341216,4.008760915203988,4.166210685934809,2.6011379732289774,3.1989992866629264,3.4060273611225798,2.242288520260035,2.931781655756758,3.3003252805701466,1.4920994150431806,1.8504451287992152,1.879378244179
0.95,1.679396966788284,2.2892853263224375,2.3486022934496207,1.152297667187973,1.7145027097155723,1.7514749111254135,2.450940323689562,4.277429226318963,4.791569796544038,3.5124537123928063,4.813965221707919,4.923682807576364,2.8231314124252105,3.8607798425851314,4.037964980944328,2.3746353402619853,3.687662821160721,4.175780685969022,1.6148144391077952,2.1517778837695993,2.182899852483134
0.975,1.7330744156029005,2.485453659529213,2.471331910360349,1.183978546215827,1.8478200633438493,1.8935318620138486,2.5169452987628333,4.739452190448341,5.609047902259638,3.6421050401820962,5.100660829962804,5.487307026011428,2.9285852345646832,4.142671661658628,4.567945543409312,2.4399851875012675,4.1121437871415765,4.666659966526329,1.6879849181311752,2.2898907026727673,2.361555031616006
0.99,1.8185495602412356,2.6552886070545783,2.7034911002315103,1.2355363153266725,2.0008163354878965,2.1050988361171217,2.6311415486079914,5.210994191271361,7.550799690253518,3.8863584973964573,5.383091964223376,6.259301702031393,3.1019936777050536,4.52175989473507,5.15704796288394,2.5508992294321993,4.423622946541415,5.463962420945982,1.8117781573635598,2.497584068567448,2.546261098223028
1.0,3.389668543354961,3.074569665922534,3.073015274314199,3.503681307584285,2.443718657848417,2.897326758057953,4.237250560103047,8.335774429959896,11.82377624136853,7.021134005281254,5.964803188065716,7.2076673101469,5.405050266275363,5.064605165558999,6.070478015895329,4.710336277044801,6.278867960663935,7.324535964893425,3.8037102171630948,2.9265449870764617,3.4508288662504074
