percentile,SLR-only Europe and Central Asia,SE-only Europe and Central Asia,SLR and SE Europe and Central Asia,SLR-only Middle East and North Africa,SE-only Middle East and North Africa,SLR and SE Middle East and North Africa,SLR-only Sub-Saharan Africa,SE-only Sub-Saharan Africa,SLR and SE Sub-Saharan Africa,SLR-only Latin America and the Caribbean,SE-only Latin America and the Caribbean,SLR and SE Latin America and the Caribbean,SLR-only East Asia and Pacific,SE-only East Asia and Pacific,SLR and SE East Asia and Pacific,SLR-only South Asia,SE-only South Asia,SLR and SE South Asia,SLR-only North America,SE-only North America,SLR and SE North America
0.0,2.062128904036632,1.2125440108125942,1.0413028316148867,2.0913233740516124,0.6553548295560638,0.681310986065418,3.4163414479875223,0.7927757612411851,1.2444963426110285,4.533660716295754,1.854689577037408,1.9025102777118945,3.7447406915220425,2.2333416528962697,2.2511043372042594,3.4646942999276877,1.4017949027668293,1.8597223503034443,2.1444135165907108,1.7837461168102196,1.4968988504520595
0.01,2.282266212112632,1.483606970301017,1.4232812898035565,2.278430742328656,0.9945155484770175,1.0293956954106447,3.7137967893201367,1.6542534269486906,2.0949031243576792,4.870224646761338,3.2205155612124856,2.749752438768241,4.1004714031085925,2.9602848607522434,2.924397019411523,3.773706168903491,1.8957192558198108,2.481046492419548,2.4029462748221877,2.114921644687669,1.9917238036030283
0.025,2.3773945270015524,1.811257815818391,1.8191053569286937,2.4226501527996556,1.1806765670763497,1.2835793043971593,3.8715740810724735,2.2886878345917543,3.0424760704623726,5.230846069877693,4.0964909488861245,3.5330238582508806,4.34437536958003,3.5084424811421053,3.5179998958937952,4.07069101075175,2.3630833645199436,3.014868097016246,2.566451119945239,2.4286382469563823,2.4235271340664597
0.05,2.475337326363596,2.17338054004878,2.077291039052852,2.6007150957400222,1.3420974456243695,1.496387832599702,3.98164021678091,2.5851210400288434,3.8429974563251528,5.384950517245825,4.555919982812053,4.327777802342486,4.508290247823828,3.898846213389004,4.107138538533181,4.146203130460994,2.7173279000437165,3.6959903733937045,2.657923284169172,2.646701379446166,2.698121798159646
0.17,2.6849483507776264,3.0135676411035233,2.75551082299191,3.1108138049147387,1.824008549078018,2.071916549669597,4.206839942778082,3.538645983991462,5.272085727796348,5.824703931322321,5.866951505362274,5.806705940550224,4.9164884319758295,4.866957145422972,5.267413299353848,4.631543839158512,3.5140090528411987,5.171396860321,2.933869240449608,3.446678101030496,3.362067832053296
0.25,2.7651288231576205,3.365683045605674,3.0330909242031847,3.3153941141869017,2.0333428944144116,2.342421599247066,4.302188389921277,4.043460598463939,5.98205452656977,5.998122486103526,6.569442535721922,6.454213423500757,5.065141190498996,5.362701579115054,5.838330888600053,4.944250750114341,4.00042215945309,5.899892953600545,3.029944797241807,3.736115238613975,3.634814580989996
0.5,3.0019257151181113,4.004608487262022,3.8290640031538086,3.753220338823515,2.572749361632895,3.3683011912353633,4.639248361232591,5.203722000251105,7.9672540682727435,6.449321017549893,8.031268066519022,8.008222647217718,5.457044163972247,6.519919782342878,7.22475327504864,5.701969652399218,5.301030250266222,7.8230158281438875,3.329402077173447,4.438417287563346,4.403287007982554
0.75,3.256442911165794,4.687200221685011,4.573377555916386,4.260375511761818,3.153253944767376,4.930737451527719,5.022167877924044,6.954090595446089,10.58588587890159,6.928696033753319,9.932817442607577,9.983977293051261,5.870953532074437,7.732597601615735,8.783136962183185,6.641138533477724,7.005826742177444,10.453751005746668,3.6782928250542684,5.012168966446952,5.250553674275449
0.83,3.3536464728851274,4.956896581449644,4.905086315239041,4.475781532913969,3.392189975508961,5.52172291842877,5.146128929611824,8.008048791197238,12.391443140344816,7.099899278991231,10.615658769875207,10.86893828098854,6.015753232971245,8.317555990603566,9.42549262433531,6.918562296514904,7.7826942005143325,11.677604012812598,3.8198519232818757,5.164215441769954,5.614509090978588
0.95,3.6183281409622414,5.650979834604006,5.786984784001205,4.991172545978958,5.111659385063242,7.098184717004223,5.518990292155889,15.141073870193019,22.075952063250423,7.603386499494055,13.820396256329166,13.553942263864592,6.4072752454788775,10.646857010705078,11.892680566634224,7.731262213803957,11.80342742609813,16.16334578998986,4.178952492529189,5.629048090186481,6.67063442163642
0.975,3.7968570328151263,5.964829826583538,6.074514726682294,5.187389735554525,5.885060185600605,7.755175066735934,5.63454624973763,22.80382987202552,30.744961051466046,7.767224151045322,15.173372041783587,15.037962156740665,6.565218964513659,11.892848555934098,13.166662994325659,8.118347663764999,14.14554735534932,19.25822557931578,4.3784220904291065,5.838018760299286,7.103658228589706
0.99,4.034112823945912,6.3114976589171885,6.974441645840125,5.416021761382205,6.532018990895007,8.585701581394867,5.782960458511137,28.25618452477735,46.20475997472518,8.065087749866274,16.509976200158405,17.20291162984282,6.799630734617279,13.133088928366703,15.495591390783206,8.34852014462104,17.77284104380143,24.719615307065997,4.671627856391821,6.122233464297619,7.644420658429527
1.0,4.835253920794171,6.818002331082445,8.031230445098462,6.52095381465544,7.822517078840367,10.45507682855478,6.989428900662802,49.75132740167212,92.61990652044372,9.743587575348904,21.34730627298437,24.54333716295608,8.195792395756014,18.119638953235043,23.370300335790194,9.527792567385893,25.814508539820395,45.92481935626942,5.682670262491916,6.519477305865236,9.41696105380004
