percentile,SLR-only Europe and Central Asia,SE-only Europe and Central Asia,SLR and SE Europe and Central Asia,SLR-only Middle East and North Africa,SE-only Middle East and North Africa,SLR and SE Middle East and North Africa,SLR-only Sub-Saharan Africa,SE-only Sub-Saharan Africa,SLR and SE Sub-Saharan Africa,SLR-only Latin America and the Caribbean,SE-only Latin America and the Caribbean,SLR and SE Latin America and the Caribbean,SLR-only East Asia and Pacific,SE-only East Asia and Pacific,SLR and SE East Asia and Pacific,SLR-only South Asia,SE-only South Asia,SLR and SE South Asia,SLR-only North America,SE-only North America,SLR and SE North America
0.0,1.3290135091092878,0.44425210507938856,0.3536731060302482,0.9701749093656951,0.2780418094752347,0.23041588928705722,2.2957845367688647,0.3438279805497616,0.3312319804665064,2.6278613134729083,0.6413723539841253,0.7175815160402513,2.1243654121640425,0.8103974864848879,0.7403109609083273,1.8875663997480865,0.6452791274268158,0.5513170284469542,1.1829116737700223,0.514581562373594,0.38771065539074573
0.01,1.4043114258284606,0.7644637484992451,0.6479121201310566,1.0152245777214446,0.45513838812996915,0.4167196947442862,2.4422013338637947,0.9434482867664574,0.8423015068709218,2.849008862759972,1.3992711782068372,1.437862053971966,2.282590194737075,1.252543757375045,1.3008096597346857,2.03617987695299,0.9458410897521563,1.0186705379553498,1.2792293860230977,0.7513767623894005,0.7206197617367641
0.025,1.4615499568439858,0.8988425996079924,0.8223364150932923,1.0585588659366856,0.5422328689643512,0.5494415442256833,2.4812589087353754,1.1433129328764349,1.1417837494767795,3.0656577214309824,1.65722911823034,1.8108320916316016,2.4397083563083677,1.438960972561243,1.57156922874663,2.169081510532959,1.195665003404742,1.1764509108602343,1.3503536203307305,0.8744054506064618,0.8759983561431653
0.05,1.5044011178520464,1.0466089120270288,1.0119546885110906,1.1049471302562601,0.6582651051251107,0.6605292024547748,2.54016248222122,1.3937325956933537,1.4332876028225578,3.2340072227217913,1.9882324515210565,2.1296261656313047,2.58235365133248,1.6681762847485384,1.8407167017872044,2.3035285064144846,1.4129130164106056,1.4261983758670456,1.4162858970154057,0.9679845714556515,0.9854171868430742
0.17,1.634478808341226,1.416421705458896,1.452625464778614,1.2118496842475912,0.9467652095407663,1.0220507914394015,2.675731240743919,2.083275839350977,2.2562755964044143,3.563737827746512,2.7432650077887213,3.1880437607363006,2.9052628213992104,2.2582128009499836,2.675791999849477,2.5255809818371056,1.8914461008266135,2.0815188422622373,1.585788430372743,1.3405373514974492,1.472145184618798
0.25,1.6916070724775305,1.592507304102299,1.6342115048065609,1.275529638284834,1.1299285908839207,1.1485141811816846,2.7683999612181496,2.406891465542057,2.5683564392936393,3.724837928981181,3.082700224766081,3.5822448193487895,3.043429903481244,2.5147884522999835,2.972919636640349,2.615306072567675,2.135358494034345,2.3268599743172946,1.671510389466408,1.5019565515231708,1.6517436682006221
0.5,1.948336331069945,1.9602353671643984,2.065630252734646,1.6648282304189999,1.586010685092512,1.571968037107025,3.188126172947562,3.1764058032734033,3.4708220217290253,4.424738760965905,3.8619074027606763,4.504747290703833,3.6243246818435564,3.1197261365889735,3.691320945804132,3.0456595221529073,2.82475941987889,3.0957044802141898,2.007367143657132,1.8323130915947163,2.063795604737334
0.75,2.4048906572942474,2.3213958725233805,2.5579925008134126,2.46100321436061,2.0072404537327664,2.239729394277455,3.6142289818148257,4.190193735509532,4.653579279792235,5.038906257424841,4.644948937159975,5.82245385731197,4.118990921123395,3.765845877382825,4.7575095844534445,3.6861787173711558,3.612134936161575,4.174768386585128,2.4689472662749976,2.138607953370157,2.631517290994049
0.83,2.5720424385114455,2.4538817826255097,2.8632586037274184,2.7249171417341733,2.201825669764228,2.767235387571083,3.760205275084548,4.657079522721702,5.365621301996225,5.301634299229434,5.052877545175492,6.345769068837502,4.354420701754534,4.061140758797477,5.193406468372653,3.855951923025647,4.053240686044209,4.8167930987071585,2.653620971396105,2.258984649115729,2.90886909612795
0.95,2.8980842067782886,2.835946516977001,3.5974542175107853,3.4478957406211284,2.689197649055224,4.081735638190359,4.085224481455988,6.286482760610099,8.172526137745175,5.8531169194286345,5.950989414795754,8.21782387034064,4.838764606563282,4.830845585967384,6.585750540324767,4.393385542016133,5.133172383360316,6.614991542814392,3.036145334752502,2.645076690080809,3.6301552884663515
0.975,3.0241023686459485,3.0583922699409687,3.9597459945784395,3.736730739887327,2.977451765209653,4.732329580128217,4.256468007704383,8.924340808342958,10.066482801079538,6.208353621820355,6.46960145966923,9.285904092419294,5.045655618692311,5.3253452899605325,7.499145451452406,4.623762420863636,5.82891922233406,7.625606131768705,3.261361254454271,2.821793952590719,3.9526669690088534
0.99,3.2368522667414767,3.247170586790047,4.368508751206574,4.080811171503237,3.335557651737549,5.427761120910023,4.403136894608011,10.7065920975752,13.842415913371543,6.475930996320277,6.822314677233613,10.066423647598645,5.34455466089987,5.857901251860329,8.024202684076986,5.070474660896287,7.1785095745984036,8.842779697320024,3.4326561595004477,2.9673787785323387,4.54483290019919
1.0,3.4026092984543546,3.689527984364028,5.36643705787563,4.72580788209746,4.090027142560522,7.253464609024378,4.7692037097817686,14.861765808619088,27.862445005379854,6.7726683476589065,8.992890129917626,15.4312247985958,5.718305098925003,7.498898120419515,13.009619398917268,5.915049847171361,9.544853581430004,18.494384313567895,3.7317210725378978,3.2930755975001427,5.6236623567368
