percentile,percentiles-only,SLR-only,Socioeconomic-only,SLR&SE
0.0,,867.4990785056197,218.3376559345942,134.46784757998464
0.01,,960.9142999323268,372.0128903143519,382.15333275792335
0.025,,984.2668201908255,503.79120084893526,495.52411043977213
0.05,1157.6609080921141,1007.281741659101,609.2755006025149,619.9155893351392
0.17,,1073.9714188055232,884.2655537848403,913.8286396120798
0.25,,1106.995804534829,987.6480721796892,1018.3068704926077
0.5,1429.4155996460452,1178.2585068212231,1244.5776811036862,1273.8260671533608
0.75,,1266.1527665618532,1512.9808584509315,1591.3016315013351
0.83,,1303.48369079688,1620.5984706939605,1717.5406630824343
0.95,1645.967520537567,1419.9456912910796,1945.7234898650186,2017.4260739328522
0.975,,1471.5510609575333,2068.5870609313897,2242.628784283286
0.99,,1560.3568750395057,2252.4099131603193,2582.4471841887357
1.0,,2993.4701501195573,2468.4162286184765,2918.4075681882136
