percentile,Original,Wider,Narrower
0.0,1219.7195255930037,830.0101139463513,2026.5181979719139
0.01,1657.1995020827526,1374.740083876524,2309.4945470508333
0.025,1988.2730514691743,1713.0974006797853,2552.244876198164
0.05,2267.3778672442772,1998.5898516059028,2736.240458071527
0.17,2949.584734735636,2912.763173865406,3188.0776641111634
0.25,3256.954709718946,3259.168545020397,3368.3317410506656
0.5,4071.5008162536114,4591.8421355319215,3860.3133045876584
0.75,4952.550103850942,6033.691338319718,4409.102125993868
0.83,5339.309122237419,6628.644535562302,4628.524639886368
0.95,6634.648765125807,8660.787938840347,5231.78704075804
0.975,7258.7447788743675,10708.946406445006,5502.664955280861
0.99,8431.79649162953,12225.645257252045,5863.727355494502
1.0,13179.355017196782,16373.317703811572,6598.480316412379
