variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,0.107,19.082,3.204,0.200689,7.512,40.412,0.08871,22.268,10.712,8.85,148.692,7.494,1.262,0.343,3.76,0.312,0.064941,194.946,0.273,34.017,17.114,1341.335,19.738,19.599,65.966,4.043,46.295,0.735,0.496,4.659,11.258,1.104,82.302,0.889,0.067757,5.55,9.927,35.468,14.465,81.121,5.254,46.077,1.341,5.365,0.861,64.935,0.105681,1.505,62.036,4.352,24.392,9.982,0.4,1.728,1.515,0.7,11.359,0.104487,14.389,0.754,0.25,7.053,7.601,4.403,9.993,239.871,1224.614,4.47,31.672,0.32,7.418,60.551,2.741,6.187,126.536,40.513,14.138,0.099546,48.184,2.737,4.228,3.994,6.355,20.86,3.324,2.252,0.544,31.951,0.030508,20.714,0.316,113.423,0.070983,0.417,47.963,0.631,23.391,3.46,0.38,1.299,28.401,2.283,0.251,158.423,5.788,16.613,4.883,0.010134,4.368,2.782,173.593,3.517,29.077,93.261,0.02,6.858,38.277,3.749,24.346229,10.676,0.271,1.759,0.840974,21.486,142.958,27.448,43.552,12.434,5.086,0.538,5.868,6.193,9.331,0.165,0.525,2.03,9.38,0.086518,20.411,6.028,69.122,1.124,0.104,1.341,10.481,72.752,0.010782,23.027,44.841,45.448,3.369,310.384,0.109,28.98,87.848,0.24,0.015561,0.183,24.053,50.133
2,0.124,24.583,3.245,0.211886,10.949,43.044,0.097396,26.044,11.324,11.251,163.543,7.059,1.861,0.383,3.713,0.356,0.066106,208.26,0.277,37.898,18.391,1371.171,22.513,23.15,83.883,4.973,51.481,0.863,0.523,5.251,11.031,1.241,82.377,1.033,0.067879,5.836,10.885,39.953,16.091,93.382,6.733,48.942,1.33,5.646,0.897,69.233,0.10990824,1.737,66.424,4.107,29.309,11.461,0.416,2.122,1.765,0.879,11.488,0.108127,16.881,0.762,0.26,7.625,8.697,4.33,10.945,259.299,1361.281,5.052,39.552,0.37,9.226,62.006,2.792,7.862,125.483,49.716,15.329,0.115828,49.59,3.541,4.5,5.579,7.35,22.087,3.179,2.122,0.612,34.094,0.03172832,25.921,0.358,124.23,0.07382232,0.432,49.47,0.648,27.857,4.176,0.3952,1.357,32.547,2.615,0.288,197.847,6.235,17.328,5.448,0.01053936,4.858,3.268,202.269,3.965,30.975,107.699,0.0208,8.094,38.546,3.62,25.355354,10.951,0.297,2.541,0.87461296,20.705,141.243,34.274,53.171,15.038,5.706,0.647,7.164,6.287,10.87,0.181,0.563,2.103,10.234,0.089841,23.697,7.168,72.337,1.342,0.106,1.358,11.374,79.81,0.01121328,23.544,56.306,42.808,3.39,336.722,0.108,32.684,95.483,0.288,0.01618344,0.183,31.057,54.709
3,0.135,29.851,3.226,0.212869,13.059,44.611,0.104643,29.722,11.931,13.527,173.814,6.708,2.28,0.413,3.608,0.38,0.066582,215.84,0.276,41.821,19.167,1359.513,24.652,26.175,101.704,5.822,55.123,0.949,0.531,5.7,10.562,1.355,82.578,1.149,0.068815,6.17,11.5,42.912,17.229,102.468,8.027,50.705,1.312,5.924,0.894,73.551,0.11430457,1.926,70.617,3.784,33.555,12.583,0.43264,2.443,1.972,1.049,11.526,0.107563,18.726,0.749,0.2704,8.183,9.457,4.225,11.561,270.466,1458.929,5.561,46.729,0.417,11.026,62.696,2.757,9.44,122.372,57.974,15.931,0.132178,50.283,4.243,4.67,7.104,7.982,22.467,3.016,2.008,0.669,34.947,0.032997453,30.643,0.389,131.005,0.076775213,0.44,49.283,0.659,31.969,4.741,0.411008,1.394,35.9,2.879,0.318,240.767,6.4,18.075,6.065,0.010960934,5.308,3.673,225.226,4.308,31.74,119.468,0.021632,9.073,38.314,3.411,26.180166,11.197,0.316,2.977,0.909597478,19.717,137.807,40.373,61.619,17.074,6.027,0.734,8.367,6.123,12.045,0.188,0.588,2.16,11.123,0.092431,26.497,8.185,73.6,1.524,0.105,1.328,11.886,84.354,0.011661811,23.369,67.357,40.691,3.345,363.686,0.106,35.378,99.299,0.327,0.016830778,0.176,37.183,58.468
4,0.143,34.507,3.161,0.207232,14.798,45.367,0.109344,33.215,12.516,15.565,178.519,6.42,2.66,0.434,3.453,0.391,0.065889,217.973,0.27,45.444,19.465,1308.94,26.16,28.626,117.504,6.559,57.37,1.013,0.525,6.019,9.878,1.444,82.544,1.235,0.06738,6.488,11.787,44.761,17.917,109.119,9.223,52.661,1.303,6.161,0.866,77.71,0.118876752,2.063,74.531,3.459,37.252,13.299,0.4499456,2.7,2.134,1.196,11.609,0.102819,19.979,0.712,0.281216,8.71,9.92,4.105,11.89,274.521,1523.66,6.056,53.111,0.461,12.825,63.349,2.656,10.833,118.294,65.165,16.032,0.145273,49.904,4.886,4.731,8.511,8.487,22.413,2.829,1.903,0.721,34.834,0.034317351,34.563,0.409,134.126,0.079846221,0.438,47.612,0.665,35.306,5.177,0.42744832,1.404,38.399,3.069,0.342,285.959,6.36,18.691,6.665,0.011399372,5.7,3.982,242.043,4.54,31.669,127.941,0.02249728,9.795,37.468,3.149,26.444855,11.448,0.326,3.344,0.945981378,18.627,134.63,45.787,69.84,18.649,6.273,0.802,9.415,5.822,12.869,0.188,0.598,2.216,11.96,0.093273,28.553,8.993,72.937,1.644,0.1,1.269,12.08,86.99,0.012128284,22.433,77.362,39.074,3.244,388.801,0.101,37.123,100.235,0.359,0.017504009,0.164,42.694,61.035
5,0.148,38.247,3.052,0.198053,15.935,45.173,0.111577,36.592,13.05,17.185,177.675,6.133,2.958,0.444,3.244,0.39,0.064662,214.893,0.257,48.969,19.287,1224.524,26.936,30.274,130.041,7.108,58.09,1.032,0.505,6.176,8.994,1.51,82.255,1.289,0.064847,6.793,11.754,45.548,18.13,112.941,10.152,54.31,1.303,6.393,0.818,81.374,0.123631822,2.149,78.339,3.108,39.901,13.564,0.467943424,2.865,2.237,1.311,11.642,0.094921,20.612,0.659,0.29246464,9.051,10.094,3.949,11.94,271.071,1550.397,6.527,57.804,0.504,14.567,63.516,2.498,11.946,113.714,70.348,15.739,0.155721,48.351,5.359,4.677,9.687,8.825,21.782,2.634,1.798,0.754,33.899,0.035690045,37.333,0.422,133.522,0.08304007,0.429,44.733,0.663,37.606,5.43,0.444546253,1.383,39.823,3.177,0.36,328.589,6.147,19.154,7.248,0.011855347,6.044,4.17,252.222,4.645,30.789,132.728,0.023397171,10.186,36.496,2.847,26.381631,11.624,0.329,3.563,0.983820633,17.317,130.788,49.823,77.031,19.506,6.378,0.842,10.187,5.425,13.109,0.181,0.594,2.271,12.875,0.091324,29.691,9.559,70.212,1.69,0.093,1.181,12.02,87.35,0.012613415,20.517,85.019,37.482,3.088,411.058,0.095,37.829,98.224,0.38,0.018204169,0.149,47.099,62.344
6,0.149,40.97,2.899,0.183911,16.389,44.177,0.112221,39.637,13.49,18.337,172.005,5.81,3.137,0.443,2.99,0.38,0.064081,206.803,0.239,52.24,18.696,1117.295,27.104,31.168,139.094,7.465,57.473,1.021,0.475,6.181,7.942,1.541,81.351,1.309,0.062585,7.105,11.46,44.937,17.929,114.052,10.75,54.992,1.296,6.64,0.759,84.426,0.128577095,2.184,81.652,2.753,41.472,13.479,0.486661161,2.943,2.281,1.397,11.555,0.089907,20.773,0.598,0.304163226,9.136,10.032,3.756,11.714,260.655,1536.252,6.909,60.938,0.543,16.159,62.881,2.3,12.737,108.56,73.562,15.095,0.164044,45.917,5.627,4.521,10.572,8.87,20.71,2.416,1.679,0.762,32.217,0.037117647,39.093,0.425,129.884,0.086361673,0.415,41.14,0.65,39.081,5.538,0.462328103,1.338,40.319,3.213,0.37,364.877,5.816,19.546,7.818,0.012329561,6.325,4.229,255.356,4.636,29.268,134.419,0.024333058,10.292,35.348,2.528,26.161175,11.687,0.325,3.625,1.023173458,15.758,125.733,52.238,82.544,19.814,6.326,0.859,10.689,4.967,12.938,0.17,0.579,2.308,13.788,0.087711,30.157,9.876,66.097,1.675,0.084,1.072,11.665,85.601,0.013117952,18.308,90.308,35.731,2.89,431.955,0.088,37.634,93.552,0.391,0.018932336,0.132,49.988,62.215
7,0.146,42.671,2.703,0.169747,16.113,42.562,0.112023,41.83,13.773,19.043,163.036,5.422,3.196,0.43,2.709,0.364,0.064177,194.68,0.219,54.767,17.779,999.265,26.886,31.38,144.87,7.627,55.786,0.996,0.443,6.035,6.851,1.525,79.586,1.298,0.060263,7.386,10.992,43.232,17.416,112.883,11.056,54.438,1.283,6.856,0.699,86.382,0.133720179,2.17,84.23,2.436,42.215,13.275,0.506127607,2.966,2.282,1.449,11.304,0.085786,20.614,0.54,0.316329755,8.843,9.805,3.519,11.304,245.009,1481.442,7.192,62.803,0.573,17.739,60.939,2.104,13.112,101.598,75.24,14.237,0.168314,42.917,5.674,4.273,11.109,8.695,19.46,2.193,1.545,0.743,30.152,0.038602353,39.92,0.415,124.605,0.08981614,0.395,37.332,0.622,39.76,5.551,0.480821227,1.27,40.043,3.181,0.37,393.875,5.46,19.856,8.296,0.012822743,6.538,4.176,252.655,4.525,27.476,133.428,0.02530638,10.148,33.86,2.221,25.764258,11.591,0.316,3.54,1.064100396,14.032,119.382,52.95,86.231,19.837,6.093,0.856,10.917,4.533,12.667,0.159,0.554,2.323,14.552,0.083601,30.034,9.956,60.998,1.647,0.077,0.956,11.045,82.299,0.01364267,17.722,93.607,33.621,2.677,450.962,0.081,36.642,87.295,0.392,0.019689629,0.119,51.606,60.58
8,0.14,43.296,2.459,0.158957,15.162,40.356,0.111177,42.94,13.834,19.269,151.627,4.973,3.135,0.409,2.412,0.346,0.064413,179.584,0.198,56.171,16.473,880.436,26.261,30.896,147.288,7.585,53.185,0.954,0.41,5.728,5.821,1.448,76.778,1.259,0.057702,7.602,10.393,40.756,16.633,109.293,11.061,52.668,1.267,6.997,0.641,87.398,0.139068986,2.106,85.799,2.149,42.07,12.974,0.526372712,2.937,2.241,1.458,10.849,0.081259,20.132,0.486,0.328982945,8.25,9.431,3.231,10.716,225.992,1390.771,7.343,63.332,0.593,19.257,58.097,1.924,13.041,93.649,75.374,13.196,0.168816,39.309,5.506,3.955,11.269,8.371,18.087,1.981,1.4,0.695,27.874,0.040146447,39.776,0.388,118.263,0.093408785,0.364,33.5,0.579,39.557,5.454,0.500054076,1.187,38.976,3.076,0.361,414.405,5.093,19.945,8.623,0.013335653,6.655,4.024,244.545,4.327,25.544,129.745,0.026318636,9.772,32.043,1.913,25.334033,11.242,0.302,3.318,1.106664412,12.278,111.316,52.042,87.656,19.547,5.656,0.832,10.848,4.131,12.317,0.148,0.523,2.301,15.108,0.079598,29.311,9.81,55.185,1.619,0.071,0.837,10.255,77.647,0.014188376,16.533,94.955,31.057,2.446,465.256,0.074,34.938,79.855,0.384,0.020477214,0.108,51.99,57.54
9,0.129,42.885,2.148,0.151169,13.844,37.319,0.109655,42.699,13.665,19.028,138.534,4.486,2.986,0.378,2.092,0.324,0.064811,161.79,0.173,56,14.812,761.794,25.249,29.797,146.595,7.36,49.582,0.896,0.375,5.234,4.852,1.312,72.572,1.197,0.055179,7.724,9.685,37.811,15.491,103.767,10.804,49.913,1.234,7.044,0.586,86.974,0.144631746,1.999,85.975,1.88,41.086,12.553,0.54742762,2.861,2.162,1.428,10.23,0.077619,19.311,0.434,0.342142263,7.376,8.919,2.874,9.976,205.16,1272.411,7.363,62.536,0.599,20.65,54.61,1.75,12.589,85.155,74.148,12.059,0.167459,35.664,5.189,3.596,11.086,7.877,16.6,1.76,1.241,0.623,25.478,0.041752305,38.66,0.343,110.054,0.097145137,0.323,29.773,0.518,38.486,5.26,0.520056239,1.088,37.069,2.906,0.343,426.454,4.709,19.697,8.76,0.013869079,6.624,3.798,231.953,4.022,23.516,123.629,0.027371381,9.191,29.829,1.625,24.924742,10.735,0.284,3.013,1.150930989,10.597,102.158,49.925,86.792,18.986,5.055,0.79,10.522,3.736,11.909,0.137,0.486,2.242,15.324,0.076039,27.877,9.472,48.977,1.592,0.066,0.722,9.383,72.045,0.014755912,14.781,94.484,28.24,2.184,470.602,0.066,32.48,71.091,0.367,0.021296303,0.1,51.227,53.526
10,0.114,41.536,1.81,0.146957,12.242,33.709,0.107988,41.441,13.251,18.376,124.672,3.948,2.756,0.338,1.77,0.295,0.065422,141.412,0.146,54.469,12.818,643.987,23.912,28.192,143.116,6.977,44.903,0.828,0.336,4.593,3.917,1.143,67.405,1.121,0.053437,7.708,8.811,34.557,14.006,96.865,10.322,46.931,1.192,6.984,0.532,85.411,0.150417016,1.86,84.705,1.627,39.392,12.015,0.569324725,2.743,2.053,1.367,9.541,0.07518,18.157,0.385,0.355827953,6.333,8.24,2.482,9.155,183.659,1138.436,7.25,60.097,0.593,21.935,50.828,1.56,11.76,76.936,71.663,10.95,0.164374,31.937,4.729,3.202,10.609,7.234,14.886,1.548,1.081,0.536,23.042,0.043422397,36.669,0.291,99.745,0.101030942,0.278,26.365,0.448,36.623,4.995,0.540858489,0.971,34.169,2.692,0.316,430.54,4.286,19.131,8.713,0.014423842,6.464,3.507,216.638,3.622,21.246,115.697,0.028466236,8.456,27.703,1.347,24.552338,10.087,0.262,2.643,1.196968228,9.009,92.534,46.472,84.439,18.219,4.333,0.734,9.999,3.318,11.467,0.127,0.444,2.15,15.245,0.072922,25.507,8.98,42.741,1.57,0.061,0.615,8.431,65.655,0.015346148,12.692,92.162,25.339,1.897,466.507,0.059,29.237,61.35,0.343,0.022148155,0.091,49.524,48.935
