variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,BRN,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KNA,KOR,KWT,LBN,LBR,LBY,LCA,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PSE,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF
1,0.107,19.082,3.204,0.200689,7.512,40.412,0.08871,22.268,10.712,8.85,148.692,7.494,1.262,0.343,3.76,0.312,0.064941,194.946,0.273,0.399,34.017,17.114,1341.335,19.738,19.599,65.966,4.043,46.295,0.735,0.496,4.659,11.258,1.104,82.302,0.889,0.067757,5.55,9.927,35.468,14.465,81.121,5.254,46.077,1.341,5.365,0.861,64.935,0.105681,1.505,62.036,4.352,24.392,9.982,0.4,1.728,1.515,0.7,11.359,0.104487,14.389,0.25,0.754,7.053,7.601,4.403,9.993,239.871,1224.614,4.47,73.974,31.672,0.32,7.418,60.551,2.741,6.187,126.536,40.513,14.138,0.099546,0.052402,48.184,2.737,4.228,3.994,6.355,0.174,20.86,3.324,2.252,0.544,31.951,0.030508,20.714,0.316,113.423,0.070983,0.417,47.963,0.631,23.391,3.46,0.38,1.299,28.401,2.283,0.251,158.423,5.788,16.613,4.883,0.010134,4.368,2.782,173.593,3.517,29.077,93.261,0.02,6.858,38.277,3.749,24.346229,10.676,4.039,0.271,1.759,0.840974,21.486,142.958,27.448,43.552,12.434,5.086,0.538,5.868,6.193,9.331,0.165,0.525,2.03,9.38,0.086518,20.411,6.028,69.122,1.124,0.104,1.341,10.481,72.752,0.010782,23.019,44.841,45.448,3.369,310.384,0.109,28.98,0.10417,87.848,0.24,0.183,24.053,50.133
2,0.125,25.239,3.271,0.211886,11.043,43.57,0.097396,25.987,11.27,11.514,166.226,7.068,1.883,0.387,3.718,0.365,0.066106,210.743,0.279,0.466,37.764,18.567,1379.229,23.152,23.654,85.771,5.077,52.233,0.901,0.533,5.326,11.083,1.248,81.91,1.045,0.067879,5.806,11.066,40.528,16.347,94.75,6.926,48.769,1.325,5.617,0.925,69.002,0.10990824,1.759,66.209,4.134,30.161,11.778,0.416,2.185,1.811,0.901,11.43,0.108127,17.505,0.26,0.774,7.647,8.924,4.339,11.067,261.705,1388.089,5.037,82.339,40.772,0.369,9.237,61.702,2.836,7.993,124.813,50.658,15.607,0.115828,0.058528,49.378,3.584,4.54,5.752,7.461,0.19,22.438,3.19,2.124,0.615,34.601,0.03172832,26.869,0.362,126.183,0.07382232,0.433,50.163,0.652,28.638,4.269,0.3952,1.367,32.945,2.641,0.29,201.529,6.366,17.264,5.426,0.01053936,4.852,3.383,207.341,4.022,31.439,109.705,0.0208,8.24,38.41,3.643,25.355354,10.91,4.857,0.301,2.562,0.87461296,20.766,141.969,34.746,55.15,15.651,5.719,0.664,7.323,6.383,11.235,0.185,0.572,2.094,10.186,0.089841,24.177,7.277,72.846,1.377,0.108,1.372,11.475,81.012,0.01121328,23.614,58.362,42.939,3.426,335.751,0.11,33.203,0.1083368,96.408,0.294,0.187,31.976,54.797
3,0.138,31.855,3.301,0.212869,13.359,46.155,0.104643,29.562,11.775,14.254,181.146,6.754,2.349,0.426,3.633,0.403,0.066582,222.819,0.281,0.527,41.384,19.686,1380.651,26.179,27.315,107.35,6.08,57.328,1.048,0.559,5.911,10.695,1.377,81.357,1.182,0.068815,6.087,12.006,44.519,17.974,106.685,8.539,50.208,1.297,5.845,0.96,72.94,0.11430457,1.982,70.037,3.842,35.931,13.356,0.43264,2.601,2.074,1.097,11.379,0.107563,20.401,0.2704,0.782,8.253,10.061,4.259,11.901,277.364,1528.595,5.513,87.95,50.174,0.413,11.05,61.954,2.88,9.855,120.41,60.593,16.66,0.132178,0.063336,49.661,4.386,4.8,7.585,8.305,0.202,23.436,3.051,2.02,0.678,36.367,0.032997453,33.27,0.403,136.747,0.076775213,0.444,51.096,0.669,33.801,5.026,0.411008,1.426,37.161,2.946,0.327,252.724,6.754,17.884,6.004,0.010960934,5.28,3.988,239.684,4.477,33.041,125.356,0.021632,9.543,37.889,3.475,26.180166,11.082,5.398,0.326,3.045,0.909597478,19.915,139.632,41.861,66.827,18.791,6.088,0.78,8.755,6.396,13.184,0.199,0.613,2.135,10.986,0.092431,27.93,8.47,75.018,1.651,0.11,1.36,12.206,87.769,0.011661811,23.569,73.026,41.094,3.449,361.029,0.11,36.864,0.112670272,101.958,0.346,0.186,40.189,58.585
4,0.148,38.164,3.274,0.207232,15.357,48.142,0.109344,32.858,12.222,16.85,191.092,6.51,2.796,0.456,3.492,0.431,0.065889,229.841,0.277,0.58,44.54,20.338,1339.587,28.757,30.621,127.427,7.032,61.225,1.187,0.572,6.387,10.056,1.484,80.367,1.294,0.06738,6.338,12.696,47.437,19.24,116.868,10.193,51.675,1.273,6.012,0.975,76.517,0.118876752,2.158,73.396,3.543,41.5,14.613,0.4499456,2.976,2.307,1.28,11.351,0.102819,22.911,0.281216,0.766,8.818,10.987,4.167,12.462,286.314,1645.885,5.956,91.658,59.535,0.454,12.86,62.022,2.859,11.633,114.754,70.035,17.289,0.145273,0.066626,48.63,5.166,4.941,9.393,9.061,0.21,24.076,2.879,1.925,0.735,37.132,0.034317351,39.502,0.433,144.298,0.079846221,0.446,50.515,0.682,38.469,5.722,0.42744832,1.461,40.658,3.181,0.358,310.622,6.969,18.31,6.543,0.011399372,5.633,4.544,267.979,4.846,33.849,138.617,0.02249728,10.661,36.586,3.245,26.444855,11.234,5.712,0.344,3.475,0.945981378,18.935,137.792,48.611,78.805,21.76,6.373,0.887,10.118,6.291,14.934,0.208,0.642,2.167,11.705,0.093273,31.134,9.523,75.219,1.883,0.11,1.319,12.596,92.749,0.012128284,22.712,88.103,39.814,3.418,383.233,0.108,39.729,0.117177083,104.65,0.393,0.181,48.512,61.254
5,0.156,43.976,3.201,0.198053,16.915,49.377,0.111577,36.033,12.596,19.214,195.777,6.308,3.207,0.478,3.301,0.448,0.064662,231.868,0.268,0.627,47.585,20.534,1263.138,30.619,33.156,145.719,7.823,63.9,1.287,0.573,6.736,9.192,1.579,78.932,1.378,0.064847,6.574,13.132,49.525,20.089,124.861,11.634,52.76,1.259,6.176,0.97,79.46,0.123631822,2.288,76.592,3.226,46.376,15.48,0.467943424,3.273,2.488,1.443,11.248,0.094921,24.965,0.29246464,0.732,9.267,11.659,4.063,12.747,287.522,1733.795,6.358,93.465,67.757,0.492,14.649,61.476,2.786,13.253,108.609,78.056,17.615,0.155721,0.068238,46.183,5.82,4.973,11.094,9.703,0.213,24.188,2.713,1.835,0.779,37.076,0.035690045,45.111,0.457,148.719,0.08304007,0.443,48.628,0.688,42.293,6.271,0.444546253,1.469,43.265,3.343,0.386,371.695,7.014,18.575,7.063,0.011855347,5.94,5.011,292.577,5.108,33.862,149.04,0.023397171,11.504,35.163,2.969,26.381631,11.31,5.83,0.357,3.797,0.983820633,17.757,136.715,54.414,91.22,24.252,6.53,0.971,11.279,6.081,16.162,0.211,0.659,2.199,12.512,0.091324,33.57,10.349,73.552,2.059,0.106,1.247,12.743,95.88,0.012613415,21.006,102.254,38.882,3.332,402.305,0.104,41.714,0.121864166,104.376,0.433,0.171,56.604,63.045
6,0.162,48.856,3.095,0.183911,17.963,49.834,0.112221,38.929,12.885,21.15,195.149,6.121,3.53,0.493,3.087,0.456,0.064081,228.665,0.255,0.664,50.465,20.369,1163.794,31.801,34.971,160.929,8.454,65.297,1.353,0.561,6.965,8.157,1.65,77.069,1.427,0.062585,6.825,13.295,50.132,20.508,130.529,12.791,52.845,1.241,6.366,0.947,81.928,0.128577095,2.375,79.367,2.912,50.26,15.937,0.486661161,3.482,2.61,1.583,11.022,0.089907,26.512,0.304163226,0.688,9.577,12.096,3.95,12.731,282.01,1779.295,6.665,92.471,74.671,0.526,16.315,60.171,2.66,14.629,102.415,84.165,17.54,0.164044,0.068511,42.906,6.314,4.916,12.548,10.036,0.212,23.87,2.537,1.743,0.807,36.291,0.037117647,49.986,0.471,150.033,0.086361673,0.439,46.031,0.69,45.387,6.701,0.462328103,1.461,45.127,3.448,0.409,427.389,6.903,18.813,7.577,0.012329561,6.186,5.365,310.048,5.263,33.116,156.742,0.024333058,12.087,33.637,2.674,26.161175,11.277,5.79,0.365,3.994,1.023173458,16.356,135.424,59.026,102.607,26.194,6.591,1.034,12.197,5.77,17.052,0.21,0.667,2.22,13.324,0.087711,35.422,10.957,70.863,2.182,0.101,1.151,12.616,97.028,0.013117952,19.193,114.341,38.119,3.202,420.93,0.1,42.833,0.126738733,101.329,0.463,0.159,63.356,64.042
7,0.165,52.598,2.942,0.169747,18.299,49.664,0.112023,41.124,13.069,22.67,190.649,5.891,3.751,0.497,2.852,0.458,0.064177,221.581,0.241,0.683,52.762,19.917,1057.146,32.563,36.069,172.54,8.902,65.588,1.4,0.546,7.038,7.138,1.674,74.934,1.447,0.060263,7.047,13.263,49.609,20.611,133.778,13.686,52.081,1.216,6.541,0.92,84.005,0.133720179,2.415,81.528,2.645,53.389,16.255,0.506127607,3.64,2.684,1.689,10.686,0.085786,27.699,0.316329755,0.645,9.655,12.331,3.802,12.493,271.456,1781.252,6.87,89.152,80.387,0.552,17.995,58.305,2.535,15.591,95.619,89.022,17.197,0.168314,0.067872,39.392,6.621,4.766,13.692,10.142,0.207,23.321,2.361,1.643,0.815,35.014,0.038602353,53.956,0.472,149.685,0.08981614,0.429,43.242,0.678,47.774,7.015,0.480821227,1.437,46.216,3.494,0.423,477.965,6.75,19.03,8.008,0.012822743,6.369,5.583,320.897,5.324,32.106,161.592,0.02530638,12.391,31.686,2.401,25.764258,11.115,5.718,0.369,4.044,1.064100396,14.832,133.427,62.069,112.336,27.869,6.51,1.076,12.833,5.465,17.765,0.207,0.666,2.222,13.994,0.083601,36.563,11.337,67.348,2.28,0.096,1.049,12.204,96.682,0.01364267,19.35,124.681,37.153,3.059,437.638,0.095,43.081,0.131808282,96.537,0.483,0.149,68.828,64.028
8,0.164,55.142,2.741,0.158957,17.97,48.902,0.111177,42.531,13.156,23.736,183.858,5.623,3.873,0.491,2.608,0.456,0.064413,211.583,0.226,0.683,54.322,19.232,951.828,32.912,36.583,180.711,9.172,64.912,1.424,0.529,6.949,6.286,1.653,72.604,1.444,0.057702,7.225,13.082,48.487,20.447,134.519,14.252,50.965,1.19,6.684,0.891,85.635,0.139068986,2.41,83.235,2.419,55.682,16.47,0.526372712,3.749,2.713,1.757,10.296,0.081259,28.486,0.328982945,0.607,9.502,12.389,3.621,12.109,257.844,1747.797,7.003,84.178,84.649,0.573,19.708,56.361,2.428,16.08,88.69,92.594,16.719,0.168816,0.066692,35.975,6.728,4.554,14.48,10.129,0.199,22.63,2.209,1.538,0.804,33.512,0.040146447,56.896,0.461,148.421,0.093408785,0.412,40.599,0.651,49.385,7.219,0.500054076,1.399,46.484,3.481,0.43,521.278,6.588,19.189,8.344,0.013335653,6.497,5.675,326.985,5.294,30.994,163.485,0.026318636,12.433,29.577,2.167,25.334033,10.863,5.669,0.37,3.954,1.106664412,13.415,130.636,63.608,119.887,29.264,6.276,1.095,13.174,5.187,18.358,0.204,0.658,2.209,14.559,0.079598,37.032,11.506,63.271,2.383,0.093,0.948,11.663,95.03,0.014188376,19.043,133.084,35.906,2.912,449.545,0.09,42.52,0.137080613,90.54,0.492,0.142,73.038,62.884
9,0.159,56.598,2.524,0.151169,17.282,47.83,0.109655,43.055,13.123,24.272,175.754,5.347,3.9,0.479,2.385,0.452,0.064811,200.123,0.21,0.671,54.945,18.354,852.319,32.904,36.47,185.387,9.242,63.408,1.425,0.513,6.739,5.568,1.601,69.827,1.425,0.055179,7.354,12.772,47.08,20.032,133.577,14.472,49.602,1.162,6.786,0.86,86.45,0.144631746,2.37,84.308,2.238,57.046,16.556,0.54742762,3.814,2.693,1.785,9.891,0.077619,28.866,0.342142263,0.573,9.117,12.306,3.423,11.643,242.867,1684.434,7.075,79.021,87.254,0.585,21.417,54.378,2.327,16.173,81.686,94.732,16.192,0.167459,0.065329,32.855,6.677,4.32,14.854,10.003,0.19,21.873,2.089,1.442,0.775,32.109,0.041752305,58.533,0.439,145.998,0.097145137,0.392,38.334,0.615,50.161,7.319,0.520056239,1.352,45.96,3.415,0.429,555.753,6.411,19.22,8.578,0.013869079,6.543,5.691,328.66,5.187,29.803,162.876,0.027371381,12.265,27.752,1.973,24.924742,10.572,5.653,0.369,3.797,1.150930989,12.255,126.968,63.753,124.602,30.361,5.941,1.093,13.248,4.948,18.842,0.202,0.645,2.178,14.958,0.076039,36.841,11.523,58.972,2.492,0.091,0.859,11.138,92.527,0.014755912,18.27,139.636,34.454,2.767,456.212,0.085,41.381,0.142563838,84.128,0.491,0.138,75.813,61
10,0.151,56.892,2.319,0.146957,16.327,46.575,0.107988,42.577,12.924,24.385,167.49,5.062,3.848,0.462,2.194,0.449,0.065422,188.415,0.195,0.648,54.424,17.371,767.275,32.655,35.925,187.015,9.153,61.436,1.412,0.502,6.455,4.96,1.533,66.528,1.395,0.053437,7.426,12.395,45.601,19.452,131.239,14.393,47.759,1.133,6.824,0.828,86.195,0.150417016,2.304,84.724,2.11,57.597,16.576,0.569324725,3.838,2.649,1.774,9.442,0.07518,28.893,0.355827953,0.546,8.496,12.122,3.22,11.193,227.518,1602.936,7.076,74.815,88.494,0.589,23.144,51.885,2.242,15.935,74.941,95.541,15.72,0.164374,0.063948,30.044,6.488,4.086,14.86,9.783,0.18,21.045,2,1.359,0.73,30.879,0.043422397,59.054,0.412,143.066,0.101030942,0.372,36.467,0.575,50.194,7.322,0.540858489,1.302,44.936,3.309,0.422,582.38,6.244,19.065,8.67,0.014423842,6.509,5.651,326.374,5.025,28.713,160.179,0.028466236,11.917,26.229,1.81,24.552338,10.217,5.678,0.367,3.606,1.196968228,11.323,122.622,62.664,127.368,31.15,5.538,1.077,13.145,4.757,19.229,0.201,0.626,2.128,15.133,0.072922,36.105,11.416,54.662,2.608,0.09,0.785,10.645,89.679,0.015346148,17.026,143.787,32.836,2.63,458.56,0.081,39.817,0.148266391,78.267,0.482,0.135,77.281,58.484
