variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,1608.7850467289718,5895.71533382245,8733.239700374532,18984.59806,48280.33546325879,16373.522221122439,12480.11989,40729.76109215017,38063.78267363704,1623.1796610169492,1696.652005487854,13194.731785428343,24330.237717908083,32062.91545189504,8509.06914893617,7530.576923076923,81545.82039,11505.733587762765,20060.659340659342,40278.458417849884,15519.827042187682,7752.2294728759025,1931.554362144087,2346.193173121077,360.77130643058547,4341.192184021766,9666.421859812073,1121.3877551020407,3960.120967741935,11915.556986477784,6551.607745603127,21547.445652173912,37777.39374498797,2415.9280089988747,6171.981431,37007.48108108108,9561.43850105772,8623.443667531295,8208.945731075008,6319.642509337903,558.283212790255,30736.034898105343,18917.539149888144,36138.31873252562,4733.449477351916,33739.049203049195,3207.76677,15520.66445182724,37015.48907086207,5302.3621323529405,1685.416530009839,1115.3315968743739,25750,2090.6597222222217,1212.990099009901,35076.17142857143,27488.562373448363,6272.259743,4898.062408784487,3540.954907161804,19600,47653.71331348362,4011.0722273385077,18448.943901885075,1131.444010807565,4419.234088322473,3400.6930183715026,41055.55704697986,3683.511619095731,37135.49999999999,30450.9706120248,30900.022790705352,7868.537030280919,5849.064166801357,35129.93029651641,1688.5439241724878,2243.7148111472625,1117.942592,31251.198738170347,52004.742418706606,14384.006622516556,549.7346019028541,17896.475216365063,5192.956855225312,17511.209386281585,14675.728241563056,65652.6838235294,4898.564051203405,188409.5975,990.5793183354252,8416.518987341771,14168.572864410215,2718.960878,25812.661870503598,1643.7933407001233,11587.892234548335,937.8889316403744,2511.953757225433,28157.89474,13808.129330254042,15063.847047639167,6692.693823915901,19302.788844621515,2433.8416770292192,2849.4091223220457,42188.78348281466,53289.105058365756,9867.771857,28940.027472527465,28001.71099928109,2748.3776419556084,14407.36991754336,9756.35657048526,4058.9603371184094,8e3,2527.8477690288714,19670.949133944665,19689.85862896772,508.4976404,24624.469838890967,18900.442804428043,79560.20466173963,24971.04548,12422.10555710695,16069.296716518134,23409.373360536283,2306.7252939015425,1981.2932282451343,59364.95084545812,2771.598513011152,845.4805725971371,6814.413046988535,38.48462115528882,2003.6363636363633,8099.428571428569,28820.660098522167,38489.09808102345,13194.76299,5413.98069668316,1023.8818845388188,8747.119296316656,1502.0818505338077,4636.730769230769,26420.62639821029,9762.711573323157,14297.510446448208,3524.392506,36857.7505984766,1430.6375861376864,6930.175585284281,14358.788958147816,48067.28697355534,10845.688073394494,12446.258799171841,3243.2408250614694,4545.749999999999,12081.48577,4497.704918032787,2705.1361576518516,10795.833881874212
2,2486.456692913386,8034.929165820985,10741.380597014922,23017.67041,56036.463858554336,22864.793850454225,14550.86695,48791.363009871486,42340.679114198865,1969.7890444956565,2963.8457327387355,19399.064625850337,27269.079754601225,36815.81395348837,11666.645109135005,8312.634560906514,102545.9358,15349.415888187468,23145.703971119132,46218.97108756044,22724.07843989353,17273.07677158175,3019.5161579892274,3210.586099585062,604.2395620908018,6930.46172296622,13319.025500379297,1347.7570093457941,5833.593749999999,16267.030807030804,9209.015269269452,21001.09263657957,44382.190932334604,3499.4578896418197,8279.718875,41657.868465430016,13341.33493797445,10744.996864417408,10583.304825519695,8672.050197526623,608.2358156028369,32520.825643905962,28318.21162444113,42496.33507853402,5514.960272417706,36923.63563825998,5523.674741,18291.16225546605,42733.83829106423,9780.922847928554,3025.949492533233,2629.8969804618114,31694.40097,2838.654028436019,1612.730375426621,36007.13004484305,28993.86885245901,8145.624544,5704.290578887627,5524.026845637583,33750.5912,63229.32249322493,4914.226086956522,21565.481345002307,1775.3873239436616,7748.971401643903,5819.684810679162,45740.53581828771,7303.61907659542,43615.555555555555,37364.788643533124,33094.71188704445,8788.454512239678,7421.4956783164225,39634.58972046888,2345.1060480697433,4070.310312953915,1720.633648,44632.03366396152,62984.064551422314,19102.483311081443,954.5807127882598,24711.135341420195,9320.941230068336,25861.87915216703,22525.0873053327,76226.04501607717,7535.8300929086645,231904.0517,1126.803009839861,10683.519553072625,17908.311827433412,4681.966178,31118.068965517243,2848.6212573937432,13974.646153846154,1615.8360573296457,3581.143267160966,34658.15947,20021.354933726067,20916.705730764512,8756.57864523536,25949.690721649484,3680.233567778171,3808.8907068062817,47504.29011289771,60999.29070392262,16991.99663,33011.84721099434,35056.647398843925,3348.888966088825,24550.20151133501,15861.868883579353,5548.508614350735,13775.75151,4178.87323943662,26860.003601564105,25539.921060050743,874.398933,26461.090712742975,21003.636363636364,121713.67278172969,42999.36469,16612.93417231365,23854.00285913479,29682.540483219163,3022.8089128966917,2577.0594536689878,76710.22719449225,3798.8253477588873,1471.1873350923481,8225.403726708073,57.82298893680855,6286.101694915254,11932.406417112297,33610.51053864168,46070.77717235445,20697.90925,7807.158802638255,1447.2780569514237,13232.572797488745,2879.7239263803676,5323.689320388349,32196.748329621372,13570.234113712371,20047.773279352223,6068.894424,51671.31346901249,2116.071390364797,10645.095259193618,20843.728813559315,58219.88616217224,13841.320754716979,15279.834276104571,5663.139301653977,5497.421602787456,20803.94323,5448.813559322033,2583.6512296803794,14819.069218905921
3,4695.524475524476,10031.726527620442,15486.689961880558,27928.84188,72677.24719878267,33500.67703154659,16509.02885,58996.05751391465,50093.10136157337,3513.891213389121,6120.252344156718,32770.23242042931,36581.17274167987,44857.92452830188,19531.30507065669,12458.794520547943,124109.2678,22474.446284066595,29714.079422382667,53429.068215576284,33249.70349563046,35773.52841549513,7608.012575979877,5824.4025109086715,1738.8930782937418,12011.430020283975,19254.325476337934,2759.6116504854367,10105.696969696968,23905.929233940227,14117.217796774818,25343.32394366197,51697.28682351295,6512.722513089005,10975.90046,47951.15117891816,19515.180272411642,15716.90409738021,15726.5803718522,15203.594140202536,1012.6483962148211,37266.14574352439,39764.24556213017,50296.18249234241,8502.725118483411,43788.45267093043,9511.596333,25418.150649350646,52062.5868809145,18446.001115448966,5862.808332084519,8328.836739843555,37149.32494,5121.911519198665,3276.695741405849,45940.84636614535,38547.94714249642,11004.43837,9551.341202305792,9327.872648335746,58117.46973,79211.71087686783,8176.731145403173,28123.55721975193,3793.983533882203,15755.948317151504,11262.397650105286,53315.059503570206,11353.380978084853,54586.78651685393,46629.96986438976,39226.16309485567,12123.809523809521,12673.830632833993,48938.81629429923,4256.470526682943,8156.819663580649,2700.234273,62338.309595713574,82284.60262008733,28196.50623119897,2367.657430730478,35540.669856459324,16931.53040402666,35413.101586230165,34362.93824701195,83458.03977272726,14232.156816156814,271817.0624,2207.0930232558135,15875.012853470434,25145.030173527135,8062.200332,42030.20044543428,5537.885484370162,19376.581709145423,3369.679058823529,5881.134930643127,40623.17596,31568.791994281626,31354.2533773475,13713.342618384402,36545.63636363636,6653.340361784671,7068.151848151847,55335.47759527985,68980.05522319373,29259.69042,39046.17032672737,47811.95396145609,5500.503197720082,38238.67623235362,26878.736675878405,9031.274627117215,23721.41621,7243.121693121693,36787.37825047071,34404.42361761949,1516.580802,33220.23198294243,25326.095238095237,164658.77176901922,74043.57039,26346.472838561585,38435.6297180876,39771.46728463666,5421.760391991434,4740.873263057019,93858.48436502872,6850.886766712142,2811.2921480782834,12250.207513416814,168.97829539438857,14931.379310344828,20075.02590673575,42015.20493609519,54610.46399999999,32769.99649,13801.2885814201,2766.677277179236,23347.18898831484,6331.321299638988,8543.870967741934,44435.44615384615,23793.328271323717,28872.794028646356,10450.44769,66635.0624695765,4237.681986868398,19085.710128055878,32017.155119558556,71068.6107119377,20845.714285714283,21239.36344911261,10856.415720417668,9231.559633027524,35823.74404,8658.227848101264,4071.9070678491753,22076.5498417589
4,9374.140127388533,13150.916774471754,23214.477563052737,34971.17677,95112.3185840708,48660.852623111976,19259.21001,72930.40946745563,61434.13906558456,7439.50400610454,12603.494451606963,49376.06482189267,48494.07601572738,56314.49339207048,30147.324675324675,20205.950413223138,152879.7103,33731.92770917484,40329.0774907749,66781.52978129362,47683.34985437637,58657.20840563829,17407.024248067035,11619.083263246424,5078.236623706724,21100.943592796546,30089.569856618873,6430.257466529351,17726.508620689652,35416.292729898894,22382.09235971679,33581.583011583,63004.98774855748,12430.456026058633,16593.02854,57009.96615905245,29018.410596026486,22277.845306362033,25284.61538461538,26644.192934757393,2244.2690182745428,45234.12329696717,52968.312816799415,61361.271883884474,14935.166240409204,54721.332665330665,15622.28901,37219.69888295288,64232.727406860926,31885.695280329426,11895.871387871388,20172.87,43543.09596,10309.05109489051,7957.123745819397,60051.44215530902,51421.99740175381,17040.83244,17560.460713158725,16316.596434359803,95454.84024,95761.0728850779,15363.953881954725,37356.65158371041,8836.374056217592,30164.186517323706,21065.065389940188,62473.918269230766,18740.056601969594,68504.44444444444,59050.38564652505,48814.289484874695,18622.08791208791,22510.00436033836,61738.722764838465,8617.453138946741,15925.661280670258,4196.626443,80428.11432541443,113704.79338842974,41189.27419354839,6013.854132901133,50485.075478426246,29234.894263994473,47160.393156170365,49376.95765812859,91065.28589580684,26283.604700985492,318599.5023,5172.242413703156,25578.92420537897,37227.55945340223,13241.73348,57561.19205298013,10460.87227010563,27269.60352422907,7735.8349481363275,10325.048991354468,47614.83156,47747.161016949154,46380.01862968329,21769.973839110527,51079.55801104971,12793.853992320564,14320.623020063356,66225.46530125273,79829.44481427241,48057.47888,50027.25527831095,65516.930232558145,10292.03340650468,56084.34839842036,43249.26922291084,15806.007101228084,38961.15928,14181.492903094046,48184.934442120306,45423.89914772727,2564.610147,42143.761467889904,33291.50769230769,199063.5256916996,121612.61,40613.42612651646,57575.57053697176,53968.46149140514,10726.162188526587,9680.771549799018,106172.6252804787,13017.374999999996,6259.796003330558,19853.634338935004,576.3789364101674,29577.05521472393,32509.52054794521,52464.45544554455,65984.00538841491,52897.00604,24780.915315571005,6131.856728408837,38900.22772078053,14557.816593886459,14919.749999999998,59473.40946166394,38613.29453819935,41149.529334576466,17164.30222,83606.55677804392,9054.916019052393,32491.20381643352,47573.89568576948,84399.94369048896,31008,31721.91087593005,19488.78411810443,17674.763231197772,58838.58641,14448.444444444443,7218.266042333603,32738.794405993125
5,17154.939759036144,19579.646017699113,32327.448040885858,44605.39167,114688.14612166077,64803.091918234735,23007.02494,87669.27909185471,73657.04081632651,15099.549761672311,22430.55839343534,64599.700031575616,60204.60829493088,68957.92372881355,40412.66890859065,30786.55172413793,189895.7966,47443.90694443792,52968.185328185325,81129.44114796742,63743.08475622299,79286.1899582041,32447.73344103392,21286.972361392214,11960.8472418343,34163.16062176166,44073.08550573514,13373.257731958764,27987,48540.68582020389,33531.46401985112,42951.88214070956,76013.54928535689,21229.4917904613,28084.05199,68442.1734104046,40512.716627634654,31155.02238855844,38644.655614424875,41035.57195771487,5015.409269743787,54195.85931306725,65593.72384937239,72748.32390674576,24915.748930099857,67206.14428568301,24468.32944,52640.737972909854,77425.62344181469,47084.1826215022,21463.63455708135,37613.890041493774,51037.29905,19141.90405904059,17181.72794117647,77228.50427350427,64794.67103722781,30067.33025,29965.96093586797,27224.490566037734,149505.6504,110247.1622016561,26859.606759485596,46557.19872891712,17812.981961668545,48846.19321397717,34265.04926955397,71806.45032051281,27320.963049479717,82911.73469387756,72761.1536245246,60512.58125387257,28105.69795140543,35859.82863374357,76041.78415501594,16200.714201946757,27662.007808142775,6377.214496,98586.81626928473,140410.83864639528,55729.23241852487,13226.33628318584,63216.38678596008,44438.02317196289,57785.44374009507,63665.14568444199,97948.58490566038,41992.398058252424,373433.6687,11149.691125913192,37773.98104265403,52517.90511379019,20739.79665,72443.19999999998,17186.64201493058,35407.83744557329,16517.0558866162,17430.866861741037,55809.82114,66398.1081081081,63161.215741916196,31999.31688804554,65843.81443298969,22708.007778711606,25796.094742923167,79507.42331288343,89083.42426001161,75269.77801,64036.767123287675,81279.35498839906,18027.439952514917,75874.68950749465,62470.470076169746,25890.174943869297,61022.71443,25886.352386564515,57909.235237173285,56561.50207468878,4187.491085,52030.55606198724,43574.49541284403,221357.82840523505,190475.1222,56205.41620421754,72725.83020753377,67225.75827248147,19681.506508397724,18495.62431902375,115787.57493188011,22725.268176400477,12771.509704560664,30467.68975332068,1624.3245201014122,47630.13698630137,47657.94782608695,63028.52647735993,77841.59050445104,88002.51878,40240.20450880143,12917.682683208917,57550.36868456987,29399.57345971564,24354.54545454545,72693.73001776199,53753.63164938106,55116.6189013206,26883.49968,101814.63944993551,17410.959342497634,47333.15325416645,64633.675862068965,96605.26525335546,43108.88888888888,45442.790709922054,30745.00838248991,31898.999999999996,92155.63197,23411.454545454544,11845.45736773065,45013.312600536185
6,28955.999999999996,31146.458021893235,42561.366906474825,58554.83941,132689.57993537467,82386.98512864533,27884.49135,103496.99863789801,87630.04074074073,27902.113742548736,35567.93739321454,80344.89976996384,73979.51961569255,81955.72327044026,50502.37623762376,44028.55384615384,233580.682,63510.70282370997,66619.3388429752,95232.0672102347,80365.02354621937,96475.47486768344,52765.70083811568,35585.370938074804,23537.04837987374,51300.735578784355,60937.139485318716,24886.96485623003,40408.043478260865,62636.12519083969,46699.19672131147,53696.77083333333,90852.38690625785,32843.444015444016,39106.74307,81390.93510118632,53732.443107015235,43645.171514725545,55824.92001628759,58187.755277820135,10386.358225108226,66716.47671391378,79291.89008042896,85118.22653884966,38979.445350734095,81343.57229061065,34826.06233,70741.35234590615,91920.14855116763,63657.61987794245,35199.71437028267,60621.81767545488,59821.32957,32454.45341159207,32467.967257844477,96117.89821546595,80460.90554137257,42661.47955,46861.011003029824,41882.04545454545,212793.1582,124193.69223529412,42878.323300864606,56386.44325971059,31558.381606449686,71040.88101348386,50439.90538272804,84169.08631882664,37167.478855132285,98771.51424287855,87851.87360925677,75141.88950050967,40434.98616491422,52142.97746316093,92808.62550542009,27929.870685988146,43423.791554357595,8960.892166,118259.59643397278,159968.3880825057,71738.96811337466,25220.543999999998,76916.51666094124,62750.85523613962,67901.71854449801,78258.90122735241,105718.76993166287,60684.71220368744,437705.3447,21342.707268852544,51523.160377358494,71195.72832871591,29519.19756,86676.19047619047,25531.92711265803,44305.226277372254,31700.048727385823,27649.747447608814,65415.25052,86713.27976625273,82299.13933119066,43876.43706950532,80575.99009900988,37749.343476442744,41737.87353832827,94360.57929601248,100903.25312214436,107132.3642,79995.69726332328,100716.05998636674,28903.948410691675,96867.74967852549,84494.92862807294,39307.3491840073,86854.35027,43168.27338129497,68142.82447984148,68108.3325037332,6250.743588,64368.58641753503,55404.70588235293,245376.46866230117,271105.4913,73926.09423274973,87290.60341246288,79524.30033185841,33355.265961327976,32387.951965783846,125963.62632696389,36422.599531615924,23311.22698830144,43646.22847301952,3798.0094880411148,69421.43999999999,64979.999999999985,75302.35967107615,89760.9422987436,149251.5865,59147.22471451876,24744.77423300377,78944.22670090976,52343.42541436463,38233.846153846156,86755.24281466799,68711.74948240166,70780.18711043023,38263.60265,119987.94476798797,30259.678085113734,64282.24706687008,82945.61113200452,109368.30895100733,57475,62186.8990136711,44095.94422988806,52868.59335038363,131166.1996,36095.58139534884,18146.446941323342,58637.08788620234
7,45392.11764705881,48337.79257717655,53895.93023255813,73625.59457,152533.89639061457,101776.68812624039,32418.28863,123789.57095007708,104808.1894918174,46558.22162552927,51694.19183421574,97621.55667769458,89915.18202943454,96525.67164179104,60622.34482758621,60028.6,270674.419,81571.15329986213,81742.60089686098,112569.04378643793,99039.20066611156,113175.47879092202,77660.72694733253,54694.435033686226,40515.925108297226,71970.06795872137,80576.52053698112,40891.63515016685,54808.50931677017,78225.36063285248,62294.46567357513,66971.5424610052,109540.8928589596,47229.96879875194,49507.71411,97553.53396206422,68493.31607249551,60184.34714731762,76415.04408745017,77826.92347621781,19219.3776767765,83218.82032297557,97604.42010309278,101154.41391304346,57263.076923076915,98644.51671402932,45003.18807,91306.13246873552,110613.95513024589,83260.73537027446,53251.7622122061,87929.48766603414,66754.8992,50218.71063356798,54406.05672461115,116584.48101265822,99439.69208318132,54502.2861,67504.42388745963,57868.27397260273,274977.1256,139564.01142857142,63292.91457286432,67334.93962972901,50349.53366769821,96146.86999072663,69423.29051694542,100324.38317038339,49586.600697140406,119350.76923076923,106049.71193415637,93461.67075511946,54935.31694695989,71448.12452120619,113330.20869005032,44160.018473940545,63631.7816700611,11737.17574,140704.86389949502,176970.08968609865,89654.93333333332,42663.63910969793,94663.41457698616,83382.46010638298,82115.22314860225,95762.87515762926,114442.68041237112,82702.24247808119,488437.4248,36413.987467599465,68614.78260869565,92902.11266235774,38145.5126,102704.85849056602,35424.76223058501,54204.49165402124,54445.13281569268,40767.46652383503,72997.18155,108799.78576893649,103420.02269531539,57072.87341772151,95977.94117647059,58786.047774409766,61843.051757812485,112109.51922298665,117458.16849153923,138439.3644,99688.63226272103,123142.909340032,43159.686620471715,118577.76168531927,108859.69082548718,55762.60582907141,112235.5615,65841.43575584261,82035.6120104172,80492.71073377803,8529.892101,79569.08516049212,69623.7699680511,273282.70803949225,350329.9138,95217.30811045879,104483.24568782559,93522.14599082072,52076.138022561376,51511.3679745493,138066.83159722222,53740.94117647059,38223.70750708215,59176.47181628393,7377.803218490116,92350.55555555556,83673.40909090909,90528.17327065143,106169.03669724768,255067.1544,80149.92421384725,42883.180805831136,102866.35397650143,82644.98901098901,55318.49999999999,102535.88301462315,85867.182058528575,88378.58730004374,49445.27148,136009.15648909376,47856.2739818243,83868.2599696426,102276.03976801988,124837.41607429546,74479.99999999999,81223.50728649354,60304.921852999156,80739.33673469388,169496.5423,49479.40298507462,26240.554945725085,73476.15439466748
8,67913.41463414633,70832.5781837232,66135.62982005141,89022.86843,173428.41289489262,122616.7683395704,36985.59857,147763.45419192498,125332.18112798264,71042.94921476649,70840.7406573932,114699.90197926483,106482.3547798906,112292.54464285712,70927.76556776556,78531.95652173912,305353.8621,102513.99555954782,99185.67164179104,133295.77892574845,119971.98350071734,129796.19602403649,106647.84221502418,78134.78969677209,62989.768986368756,95576.5285497726,102823.06621807614,61067.788235294116,71570.24734982332,95595.92592592591,81208.90144137124,82103.34939759037,132187.4486275686,64079.56521739131,60005.79284,118038.14320506576,84915.96418292292,79199.22989807474,100222.45989304812,99370.96124440753,31798.513996686135,102722.65874088084,118067.19851576992,120947.94711951847,79066.09442060086,118986.25418294585,52748.68763,114285.68019093078,133008.11477262847,103444.13284132842,74938.03529787183,118579.45599999999,72677.52414,72158.67374005304,83001.28217126813,138095.09717868335,121536.54352992005,66775.95169,91810.44072429108,78327.34426229507,322303.444,155066.5622175354,88252.45842371654,79031.72473867594,74296.89710982658,123722.80605041412,90946.55626592283,119348.94425158261,65587.71355212481,143905.99999999997,127963.42235188509,115242.73413897281,71960.14992503748,93646.57933245068,137563.35198077967,64554.62016594008,88521.66457399102,14265.00606,168137.28060764706,195727.67750801647,109490.36606917444,65413.950983453,115000.22935220203,104514.06983054936,97128,114336.08304498269,124047.10843373493,107184.15874646802,531772.5464,56713.977255496575,89128.60824742266,117472.02869180813,44710.73751,120964.4162436548,46895.32997852495,64569.67426710096,85423.25344579305,56530.00363240101,79473.63396,133487.8629690049,126815.56061987238,71886.44400785856,112395.44999999998,85976.28415140057,86056.58456486043,134096.50051564112,138868.69436445905,162266.166,123277.93257923618,147154.24142790042,60622.4743703653,141439.5227168426,135387.5224547264,75282.92155022979,131552.4261,93783.06605222732,98413.37477110358,95143.90022675737,10574.46886,98338.40772014475,86014.71571906353,303890.5450061652,410625.202,118760.61954987126,121787.3190643582,109928.36585698689,76040.50942575074,75691.52273771244,151745.16476747766,74615.41818181817,57525.69370330843,77637.27613494376,12383.025131502045,118426.59574468083,104274.30303030301,108297.4472168906,125812.83127962085,396549.3539,104357.1549474575,68140.25909932141,129265.61076036234,120047.79661016949,71784.375,118564.44155844155,103749.51959917478,107774.57641516719,57955.2981,154456.05993785706,69920.0718824066,104376.60188422113,123320.86715867158,143353.75988995348,93252,102158.56740534236,78109.89284381954,115393.00261096605,198668.5955,64076.60377358491,35739.14929039855,89362.48183251775
9,96907.49999999999,98358.21330022074,80897.84023668639,103402.7857,197683.34111059265,147435.43505464253,41422.17519,175801.69230292126,149394.55621301773,101672.90042843131,93198.75887127947,134538.28749999998,125198.05714285714,130532.74038461539,82616.03003284843,101025.71428571429,335229.2916,127337.25275001257,120548.52272727272,157689.33690555926,145044.5780254777,148714.31101084096,140843.82373513636,106493.96550557997,90814.25634193575,122774.12729402576,129057.54584094783,87460.45454545453,92298.79518072288,116650.45462586236,104681.03004291844,100724.61335095836,158691.54010417705,83669.82218458933,69314.47801,142291.81892111682,104027.62915129149,101552.50530092968,128764.86776121453,124203.00908764798,48833.88170220359,127104.58262134412,142339.48472139,144019.6561085973,105848.0291970803,142956.94848545236,58862.50525,140331.76470588232,159373.48012002386,126251.24450951682,101129.96824756815,154409.16129032255,77193.46268,98953.07210031347,118940.9241245136,161516.7754318618,147396.82937365008,77221.32592,121351.44210021576,103421.86046511626,359659.9085,174694.51716857424,118861.08782306801,93437.7640558986,104488.70620968762,154879.84942940885,116157.06018991397,142297.8731199383,86484.1911703248,172800.06920415224,154197.1176973122,141201.9671302149,92398.86402753872,119545.09397278028,165921.25465294503,89602.50495021092,118476.8868112194,16689.27594,199297.3202585046,221604.84662576686,131926.61858529822,93661.92643094974,140451.1090909091,129294.8929400066,114496.95979899497,136419.1142191142,137311.0344827586,135481.56900171787,564815.1158,82832.14263420724,114565.01457725946,146747.57888726893,49892.91942,143141.25,60689.43572984749,77257.88321167881,125402.59351357071,75358.67846385541,84411.86006,162148.05678793255,153797.81988503298,88993.10225303292,131632.59842519683,119390.34045247661,116033.50411710887,160314.56295810087,164321.8014032947,181073.5675,151133.20814767663,174766.8953603159,81606.8332610581,167901.8922924901,165655.89253924583,98508.73503200701,146799.9627,127739.96079712511,117358.21511017837,114163.6311787072,12473.62391,120853.49246231155,105443.91459074731,341731.7826552462,458218.5679,146252.60995370368,142925.35463110698,130525.02660140455,105744.65934065933,105955.25120686571,168641.15778688522,100277.77777777778,81865.53834875835,100393.49409448818,18966.346513658475,149570.7142857143,127936.37554585152,129176.60272277227,148650.78742580788,557872.884,133279.65594114584,101130,159139.30739434587,165683.3628318584,93874.61538461538,138849.57446808508,123491.02040816325,130488.90831751487,64672.58603,177831.90861705667,96862.82469645621,127800.10509585131,149224.62506554797,165606.41536287812,115686.25000000001,126702.40379320893,99089.02780191138,157547.37704918033,221695.2074,83060.93023255814,46912.606546868206,106899.71276502922
10,133506.66666666663,130905.35660847882,99364.97354497353,117494.744,226823.98896696654,177009.7772567409,46462.17971,209644.84883143462,178336.5619484645,138572.20951362906,119558.697149153,158783.90047393364,147021.36162687885,153200.10723860588,97137.5,129030,366843.3096,157852.03059625308,146596.40000000002,187547.25508223515,176757.2311930818,171775.5989375665,180236.55186045362,139850.49933874252,123912.44831491499,153683.9983511954,160313.780521013,119653.15068493152,118929.58904109588,142708.70980707393,135250.77801141483,124456.04545454544,190612.11971937618,106616.3076923077,79062.3014,171498.0469547465,127055.08209240166,128626.86539606909,163188.3419689119,152986.10452753172,70727.05201232608,156227.80012411147,172266.96209912535,172298.8702610021,139292.38356164383,171487.92826152596,62520.02467,169933.86609071272,191651.03652501886,154679.94750656167,131821.50303923374,195915.06440839692,81990.00655,130670.86743044187,162298.954382368,187261.40562248995,177538.64635473338,88067.71211,156607.58201701092,133741.08597285065,382007.9736,200214.6115191341,156406.53540008378,111678.85714285712,141283.90488110136,190315.0608508585,145369.04254456336,170501.30266075386,112692.64834935227,208014.4140197152,185893.12983289405,171537.38519893467,118400.53571428571,150356.27975044286,198614.13054622087,119254.07287425325,154540.33935654472,18781.34121,234567.82647584967,255274.31306505942,158587.37628384685,127717.91804910419,173285.16348195326,158985.78207512083,137338.7445887446,163395.60106856632,155101.00917431188,169354.55759064452,599910.8401,115166.04195804194,147079.58762886596,182197.153344668,52993.09874,171880.39603960395,77254.65112447484,93662.302771855,174558.18854282534,97225.16551040634,89656.93102,197433.96226415096,185930.73232687698,108741.57934131734,155877.94871794872,158508.0045278747,153527.0991847826,191207.2541489024,194988.2361421466,192324.874,184560.3674969375,207854.45034519382,106651.35039076494,198954.0889132821,201411.69230769225,125803.0296843519,155921.6219,167902.9775147929,140525.1760507111,140294.61818181816,13987.63209,147499.82829216748,129898.13953488372,392045.93086719216,486690.7389,178961.8553888131,168439.01068966536,155825.12097542387,140527.5428897528,142151.03199302877,191312.60404280614,131093.72764786796,111298.69804224129,129906.71667628388,26708.50769632142,185879.22077922075,155600.43165467627,154472.94260552683,177061.457641196,709111.936,168639.41499085922,142484.113283884,193249.52338942676,217982.6646248085,123016.36363636365,163955.33213644524,147532.4103299856,157347.81543226747,68691.12446,208525.52526681236,128839.62552250666,154671.1050102951,181628.639414277,192646.88437010985,142445.71428571426,156001.24558303886,125158.2015524715,207456.6666666667,235470.6069,106482.16216216216,60021.70879438391,126631.72939222088
