variable,ABW,AGO,ALB,ANT,ARE,ARG,ATG,AUS,BEL,BEN,BGD,BGR,BHR,BHS,BIH,BLZ,BMU,BRA,BRB,CAN,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,GUF,HKG,HND,HRV,HTI,IDN,IND,IRL,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KHM,KIR,KOR,KWT,LBN,LBR,LBY,LKA,LTU,LVA,MAC,MAR,MCO,MDG,MDV,MEX,MHL,MLT,MMR,MNE,MOZ,MRT,MTQ,MUS,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PYF,QAT,REU,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVN,SWE,SYC,SYR,TGO,THA,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UKR,URY,USA,VCT,VEN,VNM,VUT,WLF,WSM,YEM,ZAF
1,1608.7850467289718,5895.71533382245,8733.239700374532,18984.59806,48280.33546325879,16373.522221122439,12480.11989,40729.76109215017,38063.78267363704,1623.1796610169492,1696.652005487854,13194.731785428343,24330.237717908083,32062.91545189504,8509.06914893617,7530.576923076923,81545.82039,11505.733587762765,20060.659340659342,40278.458417849884,15519.827042187682,7752.2294728759025,1931.554362144087,2346.193173121077,360.77130643058547,4341.192184021766,9666.421859812073,1121.3877551020407,3960.120967741935,11915.556986477784,6551.607745603127,21547.445652173912,37777.39374498797,2415.9280089988747,6171.981431,37007.48108108108,9561.43850105772,8623.443667531295,8208.945731075008,6319.642509337903,558.283212790255,30736.034898105343,18917.539149888144,36138.31873252562,4733.449477351916,33739.049203049195,3207.76677,15520.66445182724,37015.48907086207,5302.3621323529405,1685.416530009839,1115.3315968743739,25750,2090.6597222222217,1212.990099009901,35076.17142857143,27488.562373448363,6272.259743,4898.062408784487,3540.954907161804,19600,47653.71331348362,4011.0722273385077,18448.943901885075,1131.444010807565,4419.234088322473,3400.6930183715026,41055.55704697986,3683.511619095731,37135.49999999999,30450.9706120248,30900.022790705352,7868.537030280919,5849.064166801357,35129.93029651641,1688.5439241724878,2243.7148111472625,1117.942592,31251.198738170347,52004.742418706606,14384.006622516556,549.7346019028541,17896.475216365063,5192.956855225312,17511.209386281585,14675.728241563056,65652.6838235294,4898.564051203405,188409.5975,990.5793183354252,8416.518987341771,14168.572864410215,2718.960878,25812.661870503598,1643.7933407001233,11587.892234548335,937.8889316403744,2511.953757225433,28157.89474,13808.129330254042,15063.847047639167,6692.693823915901,19302.788844621515,2433.8416770292192,2849.4091223220457,42188.78348281466,53289.105058365756,9867.771857,28940.027472527465,28001.71099928109,2748.3776419556084,14407.36991754336,9756.35657048526,4058.9603371184094,8e3,2527.8477690288714,19670.949133944665,19689.85862896772,508.4976404,24624.469838890967,18900.442804428043,79560.20466173963,24971.04548,12422.10555710695,16069.296716518134,23409.373360536283,2306.7252939015425,1981.2932282451343,59364.95084545812,2771.598513011152,845.4805725971371,6814.413046988535,38.48462115528882,2003.6363636363633,8099.428571428569,28820.660098522167,38489.09808102345,13194.76299,5413.98069668316,1023.8818845388188,8747.119296316656,1502.0818505338077,4636.730769230769,26420.62639821029,9762.711573323157,14297.510446448208,3524.392506,36774.51774004429,1430.6375861376864,6930.175585284281,14358.788958147816,48067.28697355534,10845.688073394494,12446.258799171841,3243.2408250614694,4545.749999999999,12081.48577,4497.704918032787,2705.1361576518516,10795.833881874212
2,2445.483870967742,7975.501769515518,10698.083204930661,23017.67041,55845.527445428794,22813.983830499023,14550.86695,48762.22623252956,42298.59060402684,1963.4628033063727,2944.246589581944,19256.778580535483,27394.304137560448,36801.46214099217,11601.71828709938,8300.224719101123,102545.9358,15308.55344281187,23079.855595667865,46254.226080531946,22663.1330542113,17084.13344506265,3000.4184249100517,3202.045788336933,599.5658238260434,6909.917554795898,13274.585963753616,1342.1089223638471,5811.16634799235,16212.70615120929,9039.287462605384,21014.214343271553,44224.56025346881,3491.7328170377546,8279.718875,41564.29061000684,13312.916858061551,10735.568292743972,10566.62606425952,8649.457925510267,605.9795039358384,32539.287728331492,28168.285714285714,42351.22210414452,5510.635451505016,36931.15566276197,5523.674741,18251.813471502588,42633.24370709381,9646.559532505476,3016.1049506977374,2587.156443591309,31694.40097,2830.6597549481617,1602.4589235127476,35957.337883959044,28881.15772980501,8145.624544,5688.924826728274,5512.992125984251,33750.5912,62915.59081967212,4900.413935839944,21529.676674364895,1764.4221105527636,7705.436118149318,5790.050621436721,45618.277909738725,7260.2942961165045,43353.891891891886,37362.86364621721,33109.43811889172,8760.279369627508,7417.8300686848115,39536.976642254325,2338.884866039102,4035.476547720007,1720.633648,44415.10344827585,62970.432081332954,19096.013333333332,950.1702814124395,24674.71836734694,9284.390818128311,25763.49795533186,22377.737983034873,74630.88235294117,7504.726931424882,231904.0517,1121.2206319200648,10661.22905027933,17861.862835063992,4681.966178,30993.75,2832.0024257125524,13977.314814814814,1608.4488638403272,3567.413793103448,34658.15947,19921.8570375829,20853.169877408054,8731.135755258125,25574.791666666664,3664.684528954191,3798.659182036888,47519.67105263158,60900.44052863435,16991.99663,33054.60271716756,35063.023255813954,3344.7698856473303,24456.378310214375,15774.54527845036,5525.335982692504,13775.75151,4163.943661971831,26741.61521299227,25066.458563535907,874.398933,26427.78376403981,20688.888888888883,115368.80755608027,42999.36469,16549.90388794977,23746.888553769037,29671.3654665344,3010.8126610370314,2571.1783481845987,76548.6225026288,3788.2534775888707,1465.5778894472362,8227.148083346587,56.5280588776449,6210.165745856353,11865.719360568384,33513.72325249642,46104.50068399453,20697.90925,7774.67780731738,1440.5859374999998,13158.594633451758,2858.49478390462,5355.849056603774,32058.512518409418,13486.859504132231,19999.293822829215,6068.894424,52002.47706422018,2105.1916314424748,10567.316389459915,20733.539823008847,58083.325354446686,13796.11111111111,15256.655856076368,5614.347475466835,5462.5,20803.94323,5438.360655737704,2584.6656148372344,14810.623115026778
3,4154.666666666665,8872.225386084217,14501.60570365778,27928.84188,68769.78635423844,31558.356459169263,16509.02885,57182.95538658231,48917.8576816696,3226.3339986693286,5515.6798646829375,30388.103756708402,36006.5,42997.0460048426,18243.79157427938,11709,124109.2678,21106.357394366194,28227.391304347817,50304.009468927085,31504.670527469087,32109.611338766157,6922.406295635241,5401.705444126073,1524.8049240934477,11269.787014771553,18019.333490557477,2517.8503688092733,9287.457627118642,22472.399999999994,12638.43590229123,24189.0332103321,49811.59994187314,6114.725848563969,10975.90046,46422.7585089141,18498.53217391304,14862.26649888143,14770.70520633815,14236.727368544323,913.050953033512,36272.97662952372,38203.90243902439,48633.970290344354,7899.6644295302,42640.25614879471,9511.596333,24201.619937694704,50322.80640638939,16372.737843551795,5392.364774251229,7202.756099499323,37149.32494,4742.455996725337,2951.1663286004054,44199.180171591994,36699.47423217074,11004.43837,8885.437359820571,8604.032042723631,58117.46973,75276.77868752292,7580.029607698,26843.289940828403,3423.6484733154566,14404.650640006506,10382.82906159244,51923.8122639813,9789.621006227395,52549.352517985615,45850.41538182477,38074.39262472885,11298.28073993471,12020.720338983052,46792.001111365345,3919.150653741332,7338.405624254598,2700.234273,59882.499850844215,77865.25100164975,27088.059957173442,2146.807432432432,33527.02580806815,15774.642809453864,33652.30106100796,31937.59960159363,80065.82959641254,13167.298480556268,271817.0624,1985.7272460268248,14931.362467866322,23684.51051486584,8062.200332,39811.90909090909,4960.155428849705,18497.754172989375,3057.1641277487565,5515.330099135204,40623.17596,29566.39885222382,29888.069080779944,12957.749218478637,33676.6037735849,6109.769694351799,6545.3812499999985,54021.30456431535,66416.79472382521,29259.69042,37994.55915599095,47539.8312006534,5149.117597435465,36155.83565459609,24855.627599243857,8319.181203334783,23721.41621,6672.260553289981,35203.428511771155,32006.226912928756,1516.580802,32005.828346878625,23265.379746835442,126239.39536446086,74043.57039,24543.679058680325,35283.424789742174,37481.92257201595,4998.857170677875,4380.994494553121,91367.39671478346,6349.209809264305,2574.707780566511,11521.205291523762,137.33001245330013,13273.72340425532,18631.632653061224,40479.49999999999,53355.85363660884,32769.99649,12854.76167113258,2509.3927916921193,21679.98097826087,5612.480314960629,7838.857142857142,42106.17469879517,22252.155477031803,27513.064940607437,10450.44769,64449.34314690401,3850.2100746767223,17416.300901919338,29944.68161434977,68897.72303580561,18810,19780.665950590763,9892.1425190586,8544.770642201833,35823.74404,7947.613636363637,3890.434338272866,21191.50578094
4,7382.097902097902,10046.54939577477,20054.767478645994,34971.17677,81758.83092309772,42457.36724932219,19259.21001,66803.69110341712,57669.91850431447,6011.787985865724,10156.561598485314,43129.467289719614,45489.85714285714,50548.75576036866,26512.18071242398,17426.547314578005,152879.7103,29100.190207043983,35462.44444444443,56138.57803010297,42276.9863858207,48994.712439072835,14487.499999999998,9711.78369314609,3865.8752042483657,18141.625247751177,25918.3580268433,5156.4461994077,14885.142857142857,30751.779365343078,18203.30026321117,29568.157894736843,57780.72543128513,10789.846153846152,16593.02854,52869.43279901355,25622.000509035373,19302.95748531087,21704.602332979848,23106.827042036675,1727.8607828255444,41586.111543647094,49225.60245587106,56871.77081642591,12565.011547344111,50669.281173594136,15622.28901,32973.24285021812,59252.98788423609,26215.38594969644,9842.461075915386,15962.057297541169,43543.09596,8526.355555555556,6322.352389878163,54332.05685618729,46436.85761047463,17040.83244,14708.6190500025,13574.325842696628,95454.84024,85913.85533869114,12809.945564516127,33521.55420219244,7133.485281749369,25131.70511545564,17761.91168633422,58399.58718626155,13024.13134755512,63244.03470715834,56057.86666666666,44832.07596015722,15901.626506024093,19731.06064801994,55451.55477031801,7054.092227422695,12941.119011976047,4196.626443,74344.93186918883,95247.16332378224,37356.385542168675,4805.921748325696,43131.0074231177,25111.738723062503,42876.330858960755,42811.403047819236,84586.10263522885,22444.81770683814,318599.5023,4070.7264994358125,21994.474327628363,32240.532037039786,13241.73348,51151.643835616436,8330.964462740485,24341.142857142855,6176.68441624653,8917.191423604403,47614.83156,41521.49572649573,41511.18258287976,19030.830889540564,43269.99999999999,10501.180448945477,12040.801886792453,62044.94676582313,72721.90847711927,48057.47888,45968.4,62938.47815168256,8721.169792144372,49501.86343612335,36901.67292936309,13163.626984313081,38961.15928,11706.44410413476,44200.64908722109,40035.395363607495,2564.610147,38552.97169811321,28213.251533742325,130682.38636363634,121612.61,34940.04831695925,48511.24652751986,44826.497040644725,8856.840206185567,7998.6444313368,99321.56862745098,10918.129675810473,5079.810939989379,17136.028856063207,384.28160696246795,24261.382978723406,28050.10033444816,48385.69494584837,61702.30936454848,52897.00604,21028.93356214758,4900.998554431223,33630.523602561116,11432.59124087591,12312,53146.09929078014,33872.34437086093,36749.739280377056,17164.30222,76891.88962688895,7322.45391794421,27412.486563955572,41697.151664611585,78515.30423018459,26219.999999999996,25295.759502195404,16299.367087344735,14677.103064066852,58838.58641,12088.170731707316,6383.802407832482,29369.86286556893
5,12455.27027027027,13859.73174366617,26290.222804718214,44605.39167,90618.73235017258,53303.38476523587,23007.02494,76149.83165719282,65892.34942528735,11175.449519930171,16917.798902490496,53725.72965922061,52927.52535496957,58173.37837837838,33916.05425400739,24907.53846153846,189895.7966,38270.41001800896,43759.14396887159,62380.62120933651,53458.59387151967,63717.57785065871,25587.912830412828,16524.012684151414,8468.677878515236,27451.578503095105,35595.180237562396,9880.000000000002,22170.17821782178,39518.27720207253,25613.495663775848,35190.51655629138,66189.46301136709,17324.639255236616,28084.05199,60685.490946562626,33716.31955079122,25186.946957056287,30927.325979040263,33572.14758148059,3476.0342789598103,46967.07641318356,58493.46124328473,64520.1126231816,19531.90709046455,59059.64632437879,24468.32944,43733.77384830153,68137.49396852143,37183.513513513506,16544.41392446304,28732.975523444413,51037.29905,14645.71727748691,12652.114438980776,65858.26086956522,55681.58735612437,30067.33025,23286.92800310499,21134.112291350528,149505.6504,93258.0709313888,20779.080641965524,39458.31856166118,13462.979899497486,38214.49096362207,27130.012054976887,63713.37214646851,16753.36931700228,73136.42857142858,66189.10276652708,52500.79066691857,22532.57005604483,29383.96283274736,64531.464727298306,12238.584181497696,21128.569794777304,6377.214496,87141.4481603276,107020.23885053181,47779.33290570878,9770.789718179001,50826.94844192635,36053.24579928381,50193.75854214123,52246.618464961066,87373.28912466843,33937.59048939496,373433.6687,8083.028419896606,30296.445497630328,42634.62710264974,20739.79665,60794.68531468531,12786.5119710281,29815.384615384613,12155.432643727063,14077.845303867403,55809.82114,54533.7093275488,53066.036712452595,26252.294617563737,52322.83333333333,17485.659714719604,20314.699853587113,70989.90811318785,78255.30629139072,75269.77801,55905.07941760424,73395.22302158273,14167.07923971739,63227.90958019375,50420.590470622614,20098.907389548553,61022.71443,19793.426271352833,50819.33581762385,47622.92939936776,4187.491085,45202.7064693737,34446.01823708206,132126.7358967162,190475.1222,45625.54253046139,57589.83851729515,51103.58950685426,15043.838454648127,14140.827437711472,103153.55597365943,17756.65083135392,9560.467262196918,24716.040552995386,993.81493630330306,37752.26519337016,38863.63636363636,55308.82430647291,69558.23999999999,88002.51878,31875.69162372436,9510.45506852181,47075.1222013331,21680.236686390526,18840.645161290322,61628.535139712105,44819.925124792004,46437.7792787636,26883.49968,88513.60725252228,13081.526482315718,37705.46502321114,53907.45466321243,85994.31024332331,34907.99999999999,32076.042189854346,24274.279605798984,24507,92155.63197,18324.161073825504,9786.877853032973,37936.19530347747
6,19785.5033557047,20892.85818891872,32650.638151086576,58554.83941,98893.90444810544,63960.79453109083,27884.49135,85203.50278779927,74166.25352112675,19448.572830888366,25543.310368884624,63479.16351118761,60905.14504303475,65059.774266365675,40334.64882943144,33669,233580.682,48250.31271306509,51934.393305439335,68883.82350689126,63763.65853658535,74632.46390613043,39628.03866587957,26049.555954825457,15939.379124908333,38915.30877427997,46458.337306213354,17363.50636630754,30412.800000000003,48098.925740171486,33831.53110047847,41268.59182349123,74714.41531142825,25306.432391138278,39106.74307,68530.44616467276,42186.86387434554,33235.47633353361,42028.35183222713,45008.02002595307,6761.843720930232,54457.119217340696,67022.5,71770.55421686747,28849.9604743083,67634.04519934618,34826.06233,55339.58791208791,76688.51148777739,48182.28841264075,25652.501446759255,44803.04028488759,59821.32957,23439.531090723747,22685.55019728189,77339.65640658553,65638.44742535698,42661.47955,34361.01477879941,30713.27759197325,212793.1582,98892.62915936954,31298.52272727273,45067.33226837061,22677.08553867167,52918.43218046844,37817.23959350419,70550.80330004341,21769.850667891955,82686.74033149169,76167.50665263941,61417.55665463335,30630.313043478265,40140.04710685404,74406.19123065585,19892.924064054812,31595.407750910897,8960.892166,99092.78132282161,115760.54736093833,57833.12541473125,17683.263337116914,59441.296505073275,48346.788990825684,55711.365894039736,60815.16378796903,89466.06299212597,46621.53086879598,437705.3447,14647.394674238352,38872.658823529404,54463.87653598596,29519.19756,68754.36144578313,18075.401069518713,35313.69230769231,22074.945881630454,21039.566630552545,65415.25052,67371.61434977577,65315.56189389616,33984.276377217546,60410.756756756746,27684.394028672672,31102.24209078404,79701.49084211602,85075.23407521105,107132.3642,66315.3770750988,86000.04729250411,21381.897429471013,76386.88524590163,64722.031570315696,28830.08681808375,86854.35027,31129.908666925763,56721.4824035306,54531.95411392405,6250.743588,52942.06040900145,41225.907692307694,136939.9448275862,271105.4913,56863.4141388501,65351.377442676145,57499.88207818062,24072.445725915873,23342.670838800845,105609.30445779323,26854.365541327123,16494.431658714566,33557.58808133683,2235.679394033081,52775.29411764705,50189.533678756474,62520.20797227035,76127.16275021758,149251.5865,44251.21862254202,17219.933171324425,61133.541310498214,36888.35820895522,27957.14285714285,69602.74253731342,54392.61037291042,56290.518101424044,38263.60265,98069.45269827398,21554.303716171322,48529.87433880943,65700.29065743944,92465.63739278397,44576.59090909091,40193.07275336132,33087.30823499229,38270.17902813298,131166.1996,26461.818181818177,14057.521805233255,46542.45374909587
7,29647.808219178085,30998.189871341194,39000.82130965594,73625.59457,108649.29435859245,74417.28866124713,32418.28863,96031.49605546257,83219.83445872359,30945.82471249278,35500.270983095754,73134.30099594245,69374.84981226533,72458.93023255814,45902.99003322259,43473.46153846154,270674.419,58499.86007807684,60305.479452054795,77489.75514452133,74189.5764666179,83681.12350577675,55492.55076991743,37966.28680688336,26430.554151998338,51657.08142126655,58068.783207256296,27242.108433734935,39454.808126410826,56761.988400994196,42844.9306670559,48510.92459016393,84509.1284899354,34421.3251155624,49507.71411,77203.74492282697,50679.69978165937,43249.303756476686,54319.53376205788,56857.877448331456,11985.363603473228,63789.97134354678,77629.2907248636,80247.28704784131,40245.75107296137,77118.06626380495,45003.18807,67284.1658986175,86870.24670544936,60134.06403940888,36844.42733625488,62580.46101694914,66754.8992,34528.62440997977,36386.082383873785,88376.35610766044,76618.50849256899,54502.2861,47051.074997574455,40613.55555555555,274977.1256,105364.85129480944,43903.08006119327,50696.47058823529,34538.853503184706,68318.05329600137,49362.32042833941,78923.7597330367,28537.738006146203,94090.78534031413,86831.12464062234,71709.9079407276,39520.18060836501,51717.936241610725,85542.6386346188,29916.5606060606,44259.73730420734,11737.17574,111094.70932264603,123610.63799788509,67729.01942429207,28625.09316770186,69995.86889016675,60961.529290853025,63205.8002735978,70549.39805825242,91540.61911170928,60330.2427699655,488437.4248,23904.103707414826,48992.53012048193,67086.72878295413,38145.5126,76983.18987341771,23986.35486981678,40739.42122186495,36245.778169014084,29312.026661862725,72997.18155,79993.88976377952,77313.283720001,41796.53568060357,68051.83783783784,41150.186734370036,43797.71428571428,88781.69117647057,93720.47733847638,138439.3644,78017.63842153562,98941.95402298849,30249.122004314184,88346.09502762431,79074.03624981802,38797.32844680277,112235.5615,45090.77453685455,64125.30301240402,60961.512832057626,8529.892101,61559.60659132085,48716.96202531645,144115,350329.9138,69336.56784492587,73776.63617630798,64846.55864022662,35745.45349120385,35296.324040933614,108165.84933530282,37602.68691588785,25783.610882110468,43339.11317008603,4252.38809505013,67546.79245283018,61255.45126353789,70709.4446835988,84773.47718526663,255067.1544,56847.526802956636,28498.51145038168,75243.0650185252,56456.648451730405,37945.71428571428,77615.39748953974,64322.938886373915,66252.64608318447,49445.27148,104970.70082383476,32550.6675782794,60144.46863567413,76569.92902502802,99316.62446059755,54466.66666666666,49387.74193548386,43020.54023712698,55479.0306122449,169496.5423,34544.87394957983,19091.255667945585,54919.94222515682
8,42106.71428571428,43577.98503325942,45434.95729971533,89022.86843,118037.89473684209,84288.1638418079,36985.59857,107488.53982300885,92790.67659389907,45191.48373034408,46478.63612681119,81034.67524633017,76801.81818181818,79331.73594132028,50786.24378109452,53771.09826589595,305353.8621,69402.0197790449,68722.42424242424,87283.8033860889,84689.55017301037,91163.52252747501,72291.56696241575,51474.15846711548,39555.93653250774,64940.02109426499,69993.83510388267,39018.11320754717,49170.14634146341,65670.40851955306,53006.57275382236,56315.84254143646,95304.8493057907,44151.231135822076,60005.79284,87185.25651144436,59121.937842778796,53701.283737363825,67336.00913845969,68448.2210205594,19094.098182804446,73668.63636363635,87568.55564325178,89665.71673574387,53030.45241809672,86929.4022746516,52748.68763,79335.01424501424,97521.24080700241,71065.12796649605,49214.12788210125,80908.36750423924,72677.52414,47324.16751787538,53163.88219544845,98551.35802469135,87849.03677758318,66775.95169,60928.33399562883,52784.81481481481,322303.444,111244.51636363636,58253.38352242605,55965.14391829154,48613.72340425532,83643.494725477,61268.453756944895,87608.91461255617,37109.32924903681,106298.75210792579,98019.33946097521,82707.58180284694,49225.010395010395,63853.025074764206,97315.95532253415,41685.411149733336,58821.18369202788,14265.00606,124456.36571777455,131505.39774791137,77458.89254108723,42070.339870441036,80617.65141560147,72436.3576049096,69873.19535588086,79622.4857142857,92663.13669064747,74170.50871780152,531772.5464,35691.09111021721,60419.99999999999,80071.75769260038,44710.73751,85722.36263736263,30366.63940298507,45787.04663212435,54486.3341507192,38434.76347634763,79473.63396,92988.27295703453,89121.9627463054,49761.963589076724,75293.6842105263,57267.214536504136,57888.407618299636,98927.82251190774,103854.22474776758,162266.166,90390.60856498871,110633.26043737575,40307.19646690794,99508.53709267391,93200.35546507986,49704.84350071293,131552.4261,61095.22717969709,71762.32936990917,67941.1395713539,10574.46886,71230.53015477672,56803.70860927152,150762.76672694393,410625.202,81720.3029809415,80380.4356965755,72851.4150109527,49724.98288765172,49402.87716785184,111472.89250353609,49559.855769230766,37063.241150442474,54051.61946259985,7019.556710237882,82210.94594594595,72249.40726577438,79172.777053455007,93887.99444003176,396549.3539,70221.17635017568,43348.23853211009,89212.55558575697,79460.60531192092,48618.59154929578,84547.95698924731,73323.62164797659,76049.79097711436,57955.2981,112614.5962620214,45465.20014743826,70818.31084779599,87060.85854456254,106396.41934762798,64440.8108108108,59059.5243001889,52913.70208502911,75219.21874999999,198668.5955,43626.11111111111,24420.931332948643,62938.520333680906
9,57167.90697674418,57998.792584819865,52688.91061452513,103402.7857,127695.72811326206,95034.8648141697,41422.17519,120171.3623269866,103378.52030735454,61874.11709060332,58218.43908354627,89297.8823004904,83928.20495646348,86986.82539682538,55732.485659655824,65148.88888888887,335229.2916,81210.2488410903,78857.68786127168,98356.00392857143,96253.18930596812,98722.16024279529,90015.21089944155,66457.481625667,54694.84293461577,78907.5163043478,82776.43418982695,53462.94642857142,59918.4,75824.81085212075,64646.36438582027,65268.47560975609,107342.78454500357,54512.38095238094,69314.47801,98464.62195753494,67901.1543624161,64834.64706037925,81613.43231553804,80398.45962589263,28193.580155497963,85539.26151503615,98576.74230145865,100077.40204429302,67598.49829351535,97886.70936141835,58862.50525,91707.55377688844,109295.65524861879,82406.84042553192,62814.37180548117,100164.61562972993,77193.46268,61804.65571478503,72800.23126734504,108498.78151260503,100163.54252199412,77221.32592,76512.29454714927,66172.53456221198,359659.9085,118371.44251626897,74569.34409687184,62088.747390396646,64825.50120288692,99229.8319360499,73947.69161851006,97778.6500067907,47726.9451196111,119831.31886477461,110508.06682808718,95090.40395531952,59758.14857142856,76682.09230280403,110386.96776466444,55048.14128499757,74967.83315366117,16689.27594,138382.42765814267,141967.89747542876,87148.1813125695,57688.36009381201,92693.70826456773,84620.13975903614,76692.85227272728,89661.32151490732,94376.62921348315,88623.97048433943,564815.1158,49921.76771857217,73528.33819241982,94244.45072418994,49892.91942,95788.23529411764,37432.95469049138,51619.11196911195,76545.93774359509,48456.28517110266,84411.86006,106941.01102941175,101424.01845207583,58198.84377150722,83283.14868804664,75384.55903802051,73701.03631344235,110597.71031121492,115319.58904109588,181073.5675,104127.91666666666,122623.23854660348,51390.535323966484,111426.63848831425,107692.86613369621,61575.62982795298,146799.9627,79086.55423784135,80177.21009755606,76346.32615384614,12473.62391,82142.97345132743,65682.4647887324,158485.3501493528,458218.5679,94830.85212796074,87760.95127155974,82278.08713069603,65819.92119089318,65667.50658379857,115770.77744807121,63193.51898734177,50347.76088196161,65928.67773019272,10472.607271811234,97840.2919708029,83872.09876543209,88520.33898305084,103902.84651527015,557872.884,84982.44646124046,61502.47043918918,103358.96808706128,105062.60050251253,60938.18181818181,93064.73684210527,82137.46776084407,86528.74536747865,64672.58603,121621.90379541302,60104.01570636298,81760.5254957507,98777.03296703295,114816.19147389938,76379.99999999999,69622.02524630542,63649.04587078534,97617.54768392368,221695.2074,53591.399999999994,30023.90184863451,70881.75652953703
10,75050,73770.53736517718,61097.70165745856,117494.744,138402.63028916842,106732.56341036515,46462.17971,134750.27774426292,115598.46049354765,80522.98432738353,70837.82533367556,98727.52279635257,91478.79535558782,96211.95266272187,61532.94915254236,78482.2372881356,366843.3096,94610.89044776962,91223.42465753424,111306.14331087406,110032.3232953659,107382.55231860271,108068.68183338907,82457.80292281497,71274.83663601553,93278.8619750609,96625.93590628688,69746.52173913043,72505.35714285713,87616.18549967339,78777.87081950471,76050.86614173229,121225.49098731547,65533.22033898304,79062.3014,111375.6927867151,77442.88729996595,77098.66481465404,97341.39797229758,92757.42135962422,39092.76690563844,98935.87564722677,111676.96308724831,112354.96563573883,84222.85714285713,110213.84552341033,62520.02467,104479.77419354838,123268.07012573046,95270.92808850645,77107.20146222581,120176.7790262172,81990.00655,77600.21144732046,94707.17973697028,118328.16386247255,113622.31003039512,88067.71211,93600.0462631492,80845.24675324674,382007.9736,127612.85646612979,93034.23786407766,69397.15551974214,82638.73074822503,115145.8905907143,87216.13041049299,110104.3448275862,60180.98640531141,135775.34569983135,124627.44016412128,108634.36531045879,71879.19230769231,90507.17857142857,124616.87974420296,69499.68965854066,92799.22739726027,18781.34121,153099.42637066724,154814.60351025584,97507.02685821362,75140.60326138185,107159.52723251312,97760.24586860136,85276.86046511628,101125.69842738204,98771.64179104475,104219.41150941756,599910.8401,66332.9902642559,89300,110082.28362323926,52993.09874,108041.65467625897,45160.560591693524,58414.82142857142,101745.56808562926,59097.18918918918,89656.93102,122952.11122554066,114903.95270566888,67105.43090638929,92989.36708860759,94591.22065313328,91475.55762949138,123665.71742198525,128361.14771031792,192324.874,119731.5686881188,135962.3096663815,63463.944921943505,124460.17669795694,123120.10731431798,74245.02121921915,155921.6219,98676.59886471143,89973.04840630978,87138.4855233853,13987.63209,94294.39873103995,75966.64122137404,167980.70374574346,486690.7389,108994.83183483181,96167.53885058463,93062.11611292821,83138.94077381305,83334.63197760578,121920.013847219,78200.27247956402,65207.566756675646,79685.93128390596,14296.576262317954,113515.27559055119,96222.16216216216,99420.72558139534,115992.25188586421,709111.936,101770.88877563021,82661.67928730512,117795.54572892538,132526.0891719745,74866.22950819673,103055.99999999999,92180.31075791722,97922.76170893306,68691.12446,133148.80239520958,76111.56897636768,93210.69024034098,112243.42646283604,124864.20070867104,88398.30508474576,81204.83154906455,76084.34327628362,121996.61807580173,235470.6069,65681.53846153845,35866.010419190694,78937.69081434555
